Localidades;Períodos;Auxiliares de Enfermagem Registrados no COREN/SP ;Auxiliares de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Dentistas Registrados no CRO/SP ;Dentistas Registrados no CRO/SP (Coeficiente por dois mil habitantes);Enfermeiros Registrados no COREN/SP ;Enfermeiros Registrados no COREN/SP (Coeficiente por mil habitantes);Fonoaudiólogos registrados no CRFa/SP ;Fonoaudiólogos registrados no CRFa/SP (Coeficiente por mil habitantes);Médicos Registrados no CRM/SP ;Médicos Registrados no CRM/SP (Coeficiente por mil habitantes);Psicólogos Registrados no CRP  6ª Região [Série interrompida] ;Psicólogos Registrados no CRP  6ª Região (Coeficiente por mil habitantes) [Série interrompida] (Coeficiente por mil habitantes);Técnicos de Enfermagem Registrados no COREN/SP ;Técnicos de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Técnicos de Prótese Dentária Registrados no CRO/SP ;Técnicos de Prótese Dentária Registrados no CRO/SP (Coeficiente por dois mil habitantes);Cód. IBGE
Nhandeara;2019;29;2.69;25;4.64;36;3.34;4;0.37;32;2.97;;;56;5.19;;;3532603
Nipoã;2019;3;0.61;4;1.63;3;0.61;;;;;;;17;3.47;;;3532702
Nova Aliança;2019;16;2.5;11;3.44;22;3.44;1;0.16;3;0.47;;;28;4.38;;;3532801
Nova Campina;2019;18;1.89;1;0.21;5;0.52;;;;;;;8;0.84;;;3532827
Nova Canaã Paulista;2019;1;0.51;2;2.05;7;3.58;;;;;;;6;3.07;;;3532843
Nova Castilho;2019;2;1.71;;;2;1.71;;;;;;;2;1.71;;;3532868
Nova Europa;2019;12;1.13;16;3.02;15;1.41;2;0.19;2;0.19;;;50;4.71;;;3532900
Nova Granada;2019;112;5.4;31;2.99;44;2.12;6;0.29;20;0.96;;;115;5.54;;;3533007
Nova Guataporanga;2019;25;11.42;3;2.74;5;2.28;;;;;;;5;2.28;;;3533106
Nova Independência;2019;29;7.91;3;1.64;9;2.45;;;1;0.27;;;11;3;;;3533205
Nova Luzitânia;2019;4;1;5;2.51;4;1;;;1;0.25;;;9;2.26;1;0.5;3533304
Nova Odessa;2019;192;3.35;62;2.16;76;1.32;8;0.14;32;0.56;;;236;4.11;12;0.42;3533403
Novais;2019;24;4.43;1;0.37;8;1.48;;;1;0.18;;;6;1.11;;;3533254
Novo Horizonte;2019;23;0.59;65;3.36;50;1.29;10;0.26;67;1.73;;;122;3.15;8;0.41;3533502
Nuporanga;2019;7;0.97;9;2.49;17;2.35;1;0.14;5;0.69;;;33;4.57;;;3533601
Ocauçu;2019;23;5.55;5;2.41;10;2.41;1;0.24;;;;;4;0.96;;;3533700
Óleo;2019;12;4.73;2;1.58;3;1.18;;;7;2.76;;;3;1.18;;;3533809
Olímpia;2019;47;0.9;124;4.74;102;1.95;13;0.25;125;2.39;;;179;3.42;12;0.46;3533908
Onda Verde;2019;27;6.44;;;11;2.62;2;0.48;1;0.24;;;50;11.93;1;0.48;3534005
Oriente;2019;60;9.6;;;33;5.28;;;1;0.16;;;48;7.68;;;3534104
Orindiúva;2019;5;0.74;5;1.48;10;1.48;2;0.3;7;1.04;;;27;4;;;3534203
Orlândia;2019;50;1.19;84;4;53;1.26;15;0.36;87;2.07;;;162;3.85;11;0.52;3534302
Osasco;2019;2006;2.95;972;2.86;2101;3.09;133;0.2;568;0.84;;;3696;5.44;80;0.24;3534401
Oscar Bressane;2019;9;3.58;1;0.79;12;4.77;;;;;;;12;4.77;;;3534500
Osvaldo Cruz;2019;133;4.26;65;4.16;86;2.75;5;0.16;54;1.73;;;25;0.8;15;0.96;3534609
Ourinhos;2019;267;2.43;194;3.53;273;2.49;15;0.14;257;2.34;;;471;4.29;23;0.42;3534708
Ouro Verde;2019;38;4.62;4;0.97;10;1.22;1;0.12;1;0.12;;;17;2.07;;;3534807
Ouroeste;2019;23;2.38;19;3.94;37;3.84;9;0.93;14;1.45;;;44;4.56;1;0.21;3534757
Pacaembu;2019;46;3.52;21;3.21;24;1.84;;;9;0.69;;;15;1.15;;;3534906
Palestina;2019;7;0.58;19;3.15;15;1.24;2;0.17;12;1;;;40;3.32;;;3535002
Palmares Paulista;2019;95;7.43;6;0.94;13;1.02;;;1;0.08;;;45;3.52;2;0.31;3535101
Palmeira d'Oeste;2019;4;0.44;16;3.49;14;1.53;7;0.76;7;0.76;;;40;4.36;2;0.44;3535200
Palmital;2019;81;3.76;35;3.25;44;2.04;2;0.09;40;1.86;;;63;2.92;5;0.46;3535309
Panorama;2019;73;4.82;19;2.51;53;3.5;;;8;0.53;;;21;1.39;1;0.13;3535408
Paraguaçu Paulista;2019;119;2.7;71;3.23;84;1.91;6;0.14;56;1.27;;;101;2.3;5;0.23;3535507
Paraibuna;2019;79;4.35;18;1.98;24;1.32;5;0.28;9;0.5;;;35;1.93;2;0.22;3535606
Paraíso;2019;32;5.13;12;3.85;8;1.28;2;0.32;5;0.8;;;23;3.69;;;3535705
Paranapanema;2019;21;1.06;12;1.22;15;0.76;;;8;0.41;;;42;2.13;1;0.1;3535804
Paranapuã;2019;2;0.51;6;3.09;13;3.35;1;0.26;2;0.51;;;22;5.66;;;3535903
Parapuã;2019;39;3.7;19;3.61;23;2.18;;;6;0.57;;;9;0.85;1;0.19;3536000
Pardinho;2019;7;1.11;2;0.63;13;2.06;;;6;0.95;;;32;5.07;;;3536109
PariqueraAçu;2019;201;10.48;20;2.09;156;8.14;2;0.1;49;2.56;;;281;14.66;1;0.1;3536208
Parisi;2019;7;3.41;3;2.92;5;2.44;;;;;;;7;3.41;;;3536257
Patrocínio Paulista;2019;29;2.03;15;2.1;12;0.84;6;0.42;7;0.49;;;53;3.7;1;0.14;3536307
Paulicéia;2019;26;3.68;5;1.42;10;1.42;;;1;0.14;;;11;1.56;;;3536406
Paulínia;2019;234;2.27;232;4.51;329;3.2;44;0.43;306;2.97;;;670;6.51;13;0.25;3536505
Paulistânia;2019;7;3.95;;;2;1.13;;;;;;;10;5.65;;;3536570
Paulo de Faria;2019;18;2.11;12;2.82;13;1.52;2;0.23;6;0.7;;;34;3.99;;;3536604
Pederneiras;2019;55;1.22;50;2.21;74;1.64;11;0.24;46;1.02;;;205;4.54;5;0.22;3536703
Pedra Bela;2019;8;1.35;1;0.34;12;2.02;;;;;;;53;8.91;;;3536802
Pedranópolis;2019;1;0.41;2;1.64;6;2.47;2;0.82;;;;;22;9.04;;;3536901
Pedregulho;2019;29;1.79;19;2.34;22;1.36;7;0.43;12;0.74;;;81;4.99;;;3537008
Pedreira;2019;20;0.43;58;2.52;47;1.02;7;0.15;36;0.78;;;161;3.49;6;0.26;3537107
Pedrinhas Paulista;2019;15;4.99;4;2.66;8;2.66;1;0.33;8;2.66;;;10;3.33;;;3537156
Pedro de Toledo;2019;23;2.11;3;0.55;10;0.92;1;0.09;2;0.18;;;27;2.48;;;3537206
Penápolis;2019;196;3.24;130;4.29;185;3.05;11;0.18;136;2.25;;;243;4.01;12;0.4;3537305
Pereira Barreto;2019;83;3.27;33;2.6;38;1.5;4;0.16;30;1.18;;;66;2.6;1;0.08;3537404
Pereiras;2019;28;3.36;5;1.2;8;0.96;2;0.24;1;0.12;;;11;1.32;;;3537503
Peruíbe;2019;181;2.76;96;2.93;140;2.14;7;0.11;102;1.56;;;259;3.95;10;0.31;3537602
Piacatu;2019;7;1.2;8;2.74;14;2.4;2;0.34;;;;;17;2.91;;;3537701
Piedade;2019;286;5.36;68;2.55;81;1.52;3;0.06;32;0.6;;;129;2.42;2;0.07;3537800
Pilar do Sul;2019;58;2.07;27;1.93;47;1.68;3;0.11;21;0.75;;;80;2.85;;;3537909
Pindamonhangaba;2019;846;5.22;316;3.9;370;2.28;34;0.21;299;1.85;;;689;4.25;18;0.22;3538006
Pindorama;2019;92;5.7;24;2.97;51;3.16;2;0.12;19;1.18;;;53;3.28;1;0.12;3538105
Pinhalzinho;2019;14;0.96;11;1.51;22;1.51;1;0.07;;;;;52;3.56;3;0.41;3538204
Piquerobi;2019;22;6.23;3;1.7;4;1.13;;;;;;;7;1.98;;;3538303
Piquete;2019;31;2.27;11;1.61;40;2.92;2;0.15;5;0.37;;;136;9.94;3;0.44;3538501
Piracaia;2019;59;2.25;40;3.06;30;1.15;2;0.08;24;0.92;;;114;4.36;;;3538600
Piracicaba;2019;745;1.92;1119;5.78;934;2.41;152;0.39;1095;2.83;;;2499;6.45;105;0.54;3538709
Piraju;2019;66;2.31;51;3.57;58;2.03;3;0.1;43;1.5;;;117;4.09;6;0.42;3538808
Pirajuí;2019;61;2.63;43;3.7;46;1.98;4;0.17;32;1.38;;;170;7.32;2;0.17;3538907
Pirangi;2019;20;1.85;25;4.63;25;2.31;3;0.28;12;1.11;;;41;3.79;;;3539004
Pirapora do Bom Jesus;2019;24;1.3;7;0.76;20;1.08;;;2;0.11;;;104;5.62;1;0.11;3539103
Pirapozinho;2019;161;5.97;45;3.34;74;2.74;4;0.15;37;1.37;;;59;2.19;2;0.15;3539202
Pirassununga;2019;47;0.64;187;5.1;217;2.96;22;0.3;166;2.26;;;482;6.57;12;0.33;3539301
Piratininga;2019;47;3.59;30;4.58;50;3.82;12;0.92;23;1.76;;;97;7.4;2;0.31;3539400
Pitangueiras;2019;26;0.68;44;2.3;69;1.8;3;0.08;30;0.78;;;159;4.16;1;0.05;3539509
Planalto;2019;12;2.35;1;0.39;7;1.37;;;;;;;40;7.85;;;3539608
Platina;2019;9;2.59;;;2;0.58;;;;;;;3;0.86;;;3539707
Poá;2019;1530;13.35;128;2.23;353;3.08;12;0.1;36;0.31;;;775;6.76;31;0.54;3539806
Poloni;2019;10;1.77;8;2.84;11;1.95;;;5;0.89;;;16;2.84;;;3539905
Pompéia;2019;57;2.69;40;3.78;58;2.74;9;0.43;27;1.28;;;43;2.03;1;0.09;3540002
Pongaí;2019;8;2.38;5;2.98;13;3.87;1;0.3;1;0.3;;;21;6.25;1;0.6;3540101
Pontal;2019;68;1.4;45;1.86;34;0.7;8;0.17;23;0.47;;;147;3.03;1;0.04;3540200
Pontalinda;2019;2;0.45;3;1.35;8;1.8;1;0.22;2;0.45;;;16;3.6;;;3540259
Pontes Gestal;2019;2;0.79;2;1.58;5;1.98;;;;;;;12;4.75;;;3540309
Populina;2019;5;1.25;9;4.48;14;3.49;4;1;2;0.5;;;28;6.97;1;0.5;3540408
Porangaba;2019;6;0.65;9;1.95;8;0.87;;;2;0.22;;;7;0.76;;;3540507
Porto Feliz;2019;174;3.38;48;1.87;85;1.65;11;0.21;50;0.97;;;114;2.22;4;0.16;3540606
Porto Ferreira;2019;56;1.04;99;3.68;79;1.47;13;0.24;84;1.56;;;222;4.12;9;0.33;3540705
Potim;2019;13;0.63;7;0.68;20;0.97;;;;;;;83;4.04;1;0.1;3540754
Potirendaba;2019;55;3.33;21;2.55;36;2.18;1;0.06;19;1.15;;;65;3.94;1;0.12;3540804
Pracinha;2019;7;2.41;;;3;1.03;;;;;;;1;0.34;;;3540853
Pradópolis;2019;31;1.51;12;1.17;25;1.22;3;0.15;3;0.15;;;51;2.48;;;3540903
Praia Grande;2019;1994;6.4;296;1.9;835;2.68;33;0.11;263;0.84;;;1641;5.27;35;0.22;3541000
Pratânia;2019;8;1.57;2;0.78;3;0.59;1;0.2;2;0.39;;;6;1.18;;;3541059
Presidente Alves;2019;8;1.99;5;2.48;8;1.99;1;0.25;;;;;43;10.68;;;3541109
Presidente Bernardes;2019;155;11.31;32;4.67;57;4.16;5;0.36;26;1.9;;;65;4.74;;;3541208
Presidente Epitácio;2019;121;2.86;67;3.17;44;1.04;5;0.12;44;1.04;;;49;1.16;6;0.28;3541307
Presidente Prudente;2019;1365;6.21;677;6.16;824;3.75;130;0.59;1564;7.12;;;682;3.1;54;0.49;3541406
Presidente Venceslau;2019;183;4.82;70;3.68;79;2.08;13;0.34;88;2.32;;;59;1.55;3;0.16;3541505
Promissão;2019;185;4.71;91;4.63;79;2.01;5;0.13;46;1.17;;;152;3.87;5;0.25;3541604
Quadra;2019;3;0.82;;;1;0.27;;;;;;;8;2.18;;;3541653
Quatá;2019;13;0.94;12;1.74;28;2.03;6;0.43;8;0.58;;;26;1.88;;;3541703
Queiroz;2019;6;1.86;3;1.86;8;2.48;1;0.31;1;0.31;;;4;1.24;;;3541802
Queluz;2019;6;0.48;4;0.64;12;0.96;1;0.08;3;0.24;;;45;3.59;;;3541901
Quintana;2019;35;5.43;8;2.48;9;1.4;;;1;0.16;;;7;1.09;;;3542008
Rafard;2019;14;1.57;5;1.12;16;1.79;1;0.11;2;0.22;;;19;2.13;;;3542107
Rancharia;2019;49;1.7;44;3.05;59;2.05;5;0.17;41;1.42;;;138;4.79;2;0.14;3542206
Redenção da Serra;2019;12;3.13;4;2.08;7;1.82;;;2;0.52;;;7;1.82;1;0.52;3542305
Regente Feijó;2019;135;6.96;24;2.47;57;2.94;4;0.21;31;1.6;;;58;2.99;2;0.21;3542404
Reginópolis;2019;17;2.35;9;2.49;19;2.63;1;0.14;10;1.38;;;29;4.01;;;3542503
Registro;2019;183;3.38;86;3.17;147;2.71;13;0.24;138;2.55;;;237;4.37;5;0.18;3542602
Restinga;2019;20;2.7;6;1.62;6;0.81;;;;;;;32;4.32;1;0.27;3542701
Ribeira;2019;11;3.39;2;1.23;2;0.62;;;1;0.31;;;2;0.62;;;3542800
Ribeirão Bonito;2019;24;1.86;16;2.49;20;1.55;;;4;0.31;;;60;4.66;;;3542909
Ribeirão Branco;2019;46;2.6;7;0.79;28;1.58;1;0.06;2;0.11;;;42;2.37;;;3543006
Ribeirão Corrente;2019;10;2.16;;;5;1.08;;;;;;;15;3.24;;;3543105
Ribeirão do Sul;2019;17;3.89;2;0.92;13;2.98;;;2;0.46;;;19;4.35;;;3543204
Ribeirão dos Índios;2019;6;2.8;1;0.93;3;1.4;1;0.47;2;0.93;;;10;4.66;;;3543238
Ribeirão Grande;2019;27;3.6;2;0.53;8;1.07;;;2;0.27;;;12;1.6;;;3543253
Ribeirão Pires;2019;745;6.29;155;2.62;297;2.51;20;0.17;145;1.22;;;781;6.59;17;0.29;3543303
Ribeirão Preto;2019;3428;5.07;2422;7.16;2760;4.08;323;0.48;4958;7.33;;;3633;5.37;148;0.44;3543402
Rifaina;2019;5;1.44;2;1.15;8;2.31;2;0.58;;;;;16;4.62;1;0.58;3543600
Rincão;2019;15;1.43;20;3.81;14;1.34;3;0.29;3;0.29;;;91;8.68;1;0.19;3543709
Rinópolis;2019;9;0.92;11;2.26;15;1.54;2;0.21;9;0.92;;;22;2.26;2;0.41;3543808
Rio Claro;2019;282;1.41;413;4.13;432;2.16;72;0.36;462;2.31;;;1162;5.82;32;0.32;3543907
Rio das Pedras;2019;48;1.41;44;2.59;57;1.68;4;0.12;33;0.97;;;241;7.1;4;0.24;3544004
Rio Grande da Serra;2019;295;5.99;9;0.37;86;1.75;2;0.04;4;0.08;;;275;5.59;1;0.04;3544103
Riolândia;2019;17;1.5;8;1.41;28;2.47;4;0.35;11;0.97;;;27;2.38;;;3544202
Riversul;2019;17;2.96;6;2.09;7;1.22;;;2;0.35;;;9;1.57;;;3543501
Rosana;2019;70;3.79;27;2.92;56;3.03;3;0.16;38;2.06;;;102;5.52;2;0.22;3544251
Roseira;2019;15;1.42;13;2.47;16;1.52;1;0.09;3;0.28;;;53;5.03;1;0.19;3544301
Rubiácea;2019;12;3.91;;;3;0.98;;;;;;;3;0.98;;;3544400
Rubinéia;2019;8;2.69;3;2.01;8;2.69;1;0.34;;;;;14;4.7;1;0.67;3544509
Sabino;2019;4;0.73;12;4.41;6;1.1;;;;;;;17;3.12;1;0.37;3544608
Sagres;2019;16;6.77;;;3;1.27;;;1;0.42;;;2;0.85;;;3544707
Sales;2019;3;0.5;13;4.34;10;1.67;1;0.17;2;0.33;;;18;3;;;3544806
Sales Oliveira;2019;17;1.49;20;3.5;23;2.01;9;0.79;21;1.84;;;62;5.42;;;3544905
Salesópolis;2019;52;3.11;21;2.51;22;1.32;2;0.12;7;0.42;;;76;4.55;2;0.24;3545001
Salmourão;2019;13;2.56;3;1.18;7;1.38;;;1;0.2;;;5;0.98;;;3545100
Saltinho;2019;15;1.93;6;1.54;13;1.67;4;0.51;2;0.26;;;32;4.11;1;0.26;3545159
Salto;2019;442;3.86;128;2.24;225;1.97;27;0.24;139;1.22;;;474;4.14;11;0.19;3545209
Salto de Pirapora;2019;326;7.44;33;1.51;84;1.92;1;0.02;14;0.32;;;236;5.38;2;0.09;3545308
Salto Grande;2019;46;5.08;5;1.1;15;1.66;2;0.22;1;0.11;;;74;8.17;;;3545407
Sandovalina;2019;21;5.05;1;0.48;10;2.4;;;;;;;8;1.92;1;0.48;3545506
Santa Adélia;2019;78;5.26;21;2.83;29;1.95;;;4;0.27;;;44;2.96;1;0.13;3545605
Santa Albertina;2019;1;0.18;12;4.23;16;2.82;2;0.35;4;0.7;;;39;6.87;;;3545704
Santa Bárbara d'Oeste;2019;362;1.93;192;2.04;255;1.36;23;0.12;160;0.85;;;1046;5.57;20;0.21;3545803
Santa Branca;2019;47;3.32;15;2.12;16;1.13;3;0.21;8;0.57;;;57;4.03;1;0.14;3546009
Santa Clara d'Oeste;2019;2;0.99;1;0.99;7;3.47;;;;;;;7;3.47;1;0.99;3546108
Santa Cruz da Conceição;2019;3;0.7;2;0.93;7;1.62;;;1;0.23;;;24;5.56;1;0.46;3546207
Santa Cruz da Esperança;2019;7;3.39;1;0.97;;;;;4;1.94;;;13;6.3;;;3546256
Santa Cruz das Palmeiras;2019;32;0.96;48;2.88;47;1.41;7;0.21;24;0.72;;;85;2.55;6;0.36;3546306
Santa Cruz do Rio Pardo;2019;124;2.7;87;3.79;98;2.14;13;0.28;92;2;;;139;3.03;4;0.17;3546405
Santa Ernestina;2019;34;6.15;7;2.53;12;2.17;;;1;0.18;;;40;7.24;1;0.36;3546504
Santa Fé do Sul;2019;52;1.7;127;8.29;127;4.14;4;0.13;82;2.68;;;137;4.47;11;0.72;3546603
Santa Gertrudes;2019;28;1.09;7;0.54;19;0.74;1;0.04;2;0.08;;;111;4.32;;;3546702
Santa Isabel;2019;298;5.45;70;2.56;120;2.2;6;0.11;28;0.51;;;239;4.37;6;0.22;3546801
Santa Lúcia;2019;23;2.7;1;0.23;16;1.88;;;2;0.23;;;67;7.85;;;3546900
Santa Maria da Serra;2019;7;1.15;4;1.32;11;1.81;;;2;0.33;;;18;2.97;;;3547007
Santa Mercedes;2019;17;6.04;;;8;2.84;;;;;;;6;2.13;;;3547106
Santa Rita d'Oeste;2019;2;0.83;4;3.31;8;3.31;1;0.41;;;;;13;5.38;;;3547403
Santa Rita do Passa Quatro;2019;159;6.02;47;3.56;78;2.95;8;0.3;53;2.01;;;220;8.33;3;0.23;3547502
Santa Rosa de Viterbo;2019;61;2.4;31;2.44;25;0.98;6;0.24;15;0.59;;;45;1.77;2;0.16;3547601
Santa Salete;2019;1;0.69;1;1.39;2;1.39;1;0.69;;;;;9;6.25;;;3547650
Santana da Ponte Pensa;2019;3;1.97;;;6;3.95;;;1;0.66;;;8;5.26;;;3547205
Santana de Parnaíba;2019;150;1.11;477;7.06;251;1.86;48;0.36;671;4.96;;;416;3.08;11;0.16;3547304
Santo Anastácio;2019;104;5.16;39;3.87;29;1.44;5;0.25;25;1.24;;;72;3.57;;;3547700
Santo André;2019;4206;6.08;2019;5.83;3159;4.56;238;0.34;2273;3.28;;;3525;5.09;179;0.52;3547809
Santo Antônio da Alegria;2019;13;1.97;10;3.03;13;1.97;1;0.15;2;0.3;;;20;3.03;1;0.3;3547908
Santo Antônio de Posse;2019;12;0.53;26;2.3;20;0.88;1;0.04;10;0.44;;;97;4.29;1;0.09;3548005
Santo Antônio do Aracanguá;2019;36;4.39;7;1.71;18;2.2;2;0.24;;;;;6;0.73;;;3548054
Santo Antônio do Jardim;2019;16;2.74;2;0.69;6;1.03;;;3;0.51;;;14;2.4;;;3548104
Santo Antônio do Pinhal;2019;32;4.84;6;1.81;7;1.06;;;7;1.06;;;14;2.12;;;3548203
Santo Expedito;2019;25;8.46;2;1.35;7;2.37;1;0.34;1;0.34;;;7;2.37;;;3548302
Santópolis do Aguapeí;2019;12;2.59;2;0.86;12;2.59;;;2;0.43;;;15;3.24;;;3548401
Santos;2019;1803;4.22;2143;10.02;1897;4.44;281;0.66;3531;8.26;;;2204;5.15;122;0.57;3548500
São Bento do Sapucaí;2019;6;0.57;10;1.9;16;1.52;1;0.1;13;1.24;;;43;4.09;1;0.19;3548609
São Bernardo do Campo;2019;4334;5.36;1721;4.26;2830;3.5;276;0.34;1507;1.87;;;4610;5.71;151;0.37;3548708
São Caetano do Sul;2019;629;4.16;807;10.68;763;5.05;102;0.67;938;6.21;;;537;3.55;54;0.71;3548807
São Carlos;2019;683;2.84;580;4.82;653;2.71;81;0.34;681;2.83;;;1127;4.68;37;0.31;3548906
São Francisco;2019;5;1.86;2;1.49;4;1.49;1;0.37;1;0.37;;;12;4.46;;;3549003
São João da Boa Vista;2019;299;3.44;204;4.69;280;3.22;22;0.25;291;3.34;;;418;4.8;25;0.57;3549102
São João das Duas Pontes;2019;7;2.82;2;1.61;5;2.01;;;3;1.21;;;11;4.43;;;3549201
São João de Iracema;2019;5;2.71;1;1.08;5;2.71;;;;;;;5;2.71;1;1.08;3549250
São João do Pau d'Alho;2019;10;5.01;2;2.01;8;4.01;;;;;;;1;0.5;;;3549300
São Joaquim da Barra;2019;127;2.54;99;3.97;67;1.34;14;0.28;99;1.98;;;182;3.65;8;0.32;3549409
São José da Bela Vista;2019;10;1.15;8;1.84;8;0.92;1;0.12;2;0.23;;;44;5.06;;;3549508
São José do Barreiro;2019;11;2.7;5;2.46;7;1.72;;;2;0.49;;;5;1.23;;;3549607
São José do Rio Pardo;2019;86;1.62;108;4.07;96;1.81;8;0.15;162;3.05;;;352;6.63;13;0.49;3549706
São José do Rio Preto;2019;1888;4.25;1394;6.27;1951;4.39;154;0.35;3042;6.85;;;2877;6.47;99;0.45;3549805
São José dos Campos;2019;2745;3.91;1983;5.64;1992;2.83;235;0.33;2793;3.97;;;3264;4.64;112;0.32;3549904
São Lourenço da Serra;2019;83;5.39;13;1.69;28;1.82;4;0.26;4;0.26;;;53;3.44;;;3549953
São Luiz do Paraitinga;2019;35;3.32;4;0.76;14;1.33;;;5;0.47;;;27;2.56;;;3550001
São Manuel;2019;45;1.14;63;3.19;102;2.59;10;0.25;46;1.17;;;190;4.82;5;0.25;3550100
São Miguel Arcanjo;2019;42;1.32;30;1.88;37;1.16;1;0.03;12;0.38;;;102;3.19;1;0.06;3550209
São Paulo;2019;72516;6.14;32006;5.42;47688;4.04;4423;0.37;64840;5.49;;;54326;4.6;2017;0.34;3550308
São Pedro;2019;72;2.12;52;3.06;37;1.09;4;0.12;34;1;;;128;3.77;;;3550407
São Pedro do Turvo;2019;23;3.13;5;1.36;9;1.22;1;0.14;2;0.27;;;30;4.08;;;3550506
São Roque;2019;162;1.87;166;3.83;175;2.02;27;0.31;204;2.35;;;387;4.47;13;0.3;3550605
São Sebastião;2019;307;3.58;127;2.96;193;2.25;12;0.14;128;1.49;;;311;3.62;11;0.26;3550704
São Sebastião da Grama;2019;8;0.67;18;3.01;13;1.09;;;8;0.67;;;58;4.86;1;0.17;3550803
São Simão;2019;34;2.3;21;2.84;21;1.42;2;0.14;9;0.61;;;34;2.3;4;0.54;3550902
São Vicente;2019;1952;5.49;303;1.71;723;2.03;47;0.13;172;0.48;;;2031;5.72;42;0.24;3551009
Sarapuí;2019;31;3.1;5;1;8;0.8;1;0.1;3;0.3;;;26;2.6;1;0.2;3551108
Sarutaiá;2019;31;8.51;2;1.1;2;0.55;;;;;;;8;2.2;;;3551207
Sebastianópolis do Sul;2019;15;4.59;4;2.45;16;4.89;2;0.61;;;;;9;2.75;1;0.61;3551306
Serra Azul;2019;29;2.38;7;1.15;21;1.72;;;2;0.16;;;36;2.96;2;0.33;3551405
Serra Negra;2019;15;0.55;63;4.61;47;1.72;15;0.55;61;2.23;;;119;4.35;4;0.29;3551603
Serrana;2019;71;1.62;27;1.23;31;0.71;2;0.05;8;0.18;;;180;4.1;2;0.09;3551504
Sertãozinho;2019;381;3.14;217;3.58;177;1.46;38;0.31;162;1.34;;;593;4.89;7;0.12;3551702
Sete Barras;2019;25;1.98;3;0.47;20;1.58;1;0.08;5;0.4;;;31;2.45;1;0.16;3551801
Severínia;2019;16;0.94;13;1.53;29;1.71;3;0.18;9;0.53;;;157;9.25;2;0.24;3551900
Silveiras;2019;12;1.95;5;1.62;11;1.79;1;0.16;6;0.97;;;28;4.54;;;3552007
Socorro;2019;33;0.86;91;4.72;57;1.48;11;0.29;53;1.37;;;130;3.37;7;0.36;3552106
Sorocaba;2019;3272;5.02;1518;4.66;2151;3.3;196;0.3;2688;4.13;;;3669;5.63;92;0.28;3552205
Sud Mennucci;2019;20;2.6;7;1.82;14;1.82;1;0.13;3;0.39;;;19;2.47;;;3552304
Sumaré;2019;808;2.89;219;1.57;483;1.73;47;0.17;109;0.39;;;1685;6.04;26;0.19;3552403
Suzanápolis;2019;4;1.03;3;1.54;6;1.54;2;0.51;1;0.26;;;10;2.57;;;3552551
Suzano;2019;2868;9.95;490;3.4;749;2.6;41;0.14;295;1.02;;;1656;5.75;65;0.45;3552502
Tabapuã;2019;72;6.08;17;2.87;17;1.43;3;0.25;9;0.76;;;23;1.94;2;0.34;3552601
Tabatinga;2019;22;1.39;39;4.94;27;1.71;2;0.13;28;1.77;;;58;3.68;;;3552700
Taboão da Serra;2019;1624;5.8;237;1.69;1201;4.29;31;0.11;118;0.42;;;1788;6.39;36;0.26;3552809
Taciba;2019;55;9.14;1;0.33;13;2.16;1;0.17;2;0.33;;;38;6.31;;;3552908
Taguaí;2019;19;1.45;8;1.22;16;1.22;1;0.08;5;0.38;;;30;2.29;;;3553005
Taiaçu;2019;5;0.83;5;1.66;15;2.49;;;2;0.33;;;22;3.65;;;3553104
Taiúva;2019;3;0.48;17;5.41;22;3.5;;;16;2.54;;;42;6.68;4;1.27;3553203
Tambaú;2019;64;2.81;20;1.76;42;1.85;4;0.18;28;1.23;;;105;4.61;3;0.26;3553302
Tanabi;2019;132;5.28;44;3.52;58;2.32;3;0.12;30;1.2;;;185;7.4;3;0.24;3553401
Tapiraí;2019;33;4.28;2;0.52;10;1.3;;;2;0.26;;;13;1.68;;;3553500
Tapiratiba;2019;17;1.35;22;3.49;23;1.82;2;0.16;9;0.71;;;90;7.13;1;0.16;3553609
Taquaral;2019;2;0.73;3;2.18;12;4.37;;;1;0.36;;;27;9.83;;;3553658
Taquaritinga;2019;129;2.37;86;3.16;109;2;8;0.15;92;1.69;;;326;5.99;2;0.07;3553708
Taquarituba;2019;52;2.25;33;2.86;40;1.73;5;0.22;24;1.04;;;31;1.34;1;0.09;3553807
Taquarivaí;2019;3;0.53;;;3;0.53;;;;;;;10;1.76;;;3553856
Tarabai;2019;48;6.66;5;1.39;20;2.78;2;0.28;4;0.56;;;28;3.89;;;3553906
Tarumã;2019;50;3.42;5;0.68;18;1.23;;;2;0.14;;;44;3.01;1;0.14;3553955
Tatuí;2019;377;3.17;196;3.3;253;2.13;23;0.19;214;1.8;;;538;4.53;23;0.39;3554003
Taubaté;2019;1416;4.65;904;5.94;1115;3.66;92;0.3;1242;4.08;;;1362;4.47;69;0.45;3554102
Tejupá;2019;2;0.43;1;0.43;4;0.85;;;;;;;9;1.91;;;3554201
Teodoro Sampaio;2019;40;1.79;27;2.42;40;1.79;4;0.18;22;0.99;;;64;2.87;;;3554300
Terra Roxa;2019;10;1.1;13;2.87;19;2.1;;;6;0.66;;;62;6.84;;;3554409
Tietê;2019;78;1.92;86;4.23;58;1.43;9;0.22;78;1.92;;;36;0.89;11;0.54;3554508
