Localidades;Períodos;Auxiliares de Enfermagem Registrados no COREN/SP ;Auxiliares de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Dentistas Registrados no CRO/SP ;Dentistas Registrados no CRO/SP (Coeficiente por dois mil habitantes);Enfermeiros Registrados no COREN/SP ;Enfermeiros Registrados no COREN/SP (Coeficiente por mil habitantes);Fonoaudiólogos registrados no CRFa/SP ;Fonoaudiólogos registrados no CRFa/SP (Coeficiente por mil habitantes);Médicos Registrados no CRM/SP ;Médicos Registrados no CRM/SP (Coeficiente por mil habitantes);Psicólogos Registrados no CRP  6ª Região [Série interrompida] ;Psicólogos Registrados no CRP  6ª Região (Coeficiente por mil habitantes) [Série interrompida] (Coeficiente por mil habitantes);Técnicos de Enfermagem Registrados no COREN/SP ;Técnicos de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Técnicos de Prótese Dentária Registrados no CRO/SP ;Técnicos de Prótese Dentária Registrados no CRO/SP (Coeficiente por dois mil habitantes);Cód. IBGE
Jacareí;2019;862;3.81;387;3.42;488;2.16;55;0.24;351;1.55;;;1167;5.16;29;0.26;3524402
Jaci;2019;47;6.87;5;1.46;25;3.66;1;0.15;;;;;32;4.68;;;3524501
Jacupiranga;2019;43;2.5;15;1.74;34;1.98;2;0.12;9;0.52;;;54;3.14;2;0.23;3524600
Jaguariúna;2019;11;0.2;79;2.93;52;0.96;12;0.22;82;1.52;;;82;1.52;8;0.3;3524709
Jales;2019;78;1.65;158;6.69;173;3.66;22;0.47;219;4.64;;;292;6.18;14;0.59;3524808
Jambeiro;2019;16;2.61;6;1.96;8;1.3;;;6;0.98;;;8;1.3;;;3524907
Jandira;2019;234;1.92;89;1.46;194;1.59;18;0.15;75;0.61;;;766;6.28;9;0.15;3525003
Jardinópolis;2019;141;3.33;54;2.55;98;2.31;5;0.12;23;0.54;;;169;3.99;4;0.19;3525102
Jarinu;2019;68;2.33;22;1.51;46;1.57;5;0.17;10;0.34;;;82;2.81;1;0.07;3525201
Jaú;2019;289;1.98;291;3.99;456;3.12;34;0.23;438;3;;;1152;7.89;18;0.25;3525300
Jeriquara;2019;4;1.27;;;3;0.95;3;0.95;;;;;19;6.05;;;3525409
Joanópolis;2019;23;1.83;28;4.45;18;1.43;2;0.16;7;0.56;;;55;4.37;1;0.16;3525508
João Ramalho;2019;5;1.15;2;0.92;12;2.75;1;0.23;;;;;5;1.15;1;0.46;3525607
José Bonifácio;2019;62;1.74;58;3.25;71;1.99;5;0.14;53;1.49;;;132;3.7;2;0.11;3525706
Júlio Mesquita;2019;12;2.6;12;5.2;9;1.95;1;0.22;2;0.43;;;9;1.95;;;3525805
Jumirim;2019;3;0.92;1;0.61;1;0.31;1;0.31;1;0.31;;;;;;;3525854
Jundiaí;2019;1141;2.83;1255;6.22;1371;3.4;182;0.45;2000;4.95;;;1235;3.06;52;0.26;3525904
Junqueirópolis;2019;85;4.26;29;2.91;45;2.26;3;0.15;29;1.45;;;54;2.71;2;0.2;3526001
Juquiá;2019;59;3.13;10;1.06;25;1.33;1;0.05;6;0.32;;;66;3.5;2;0.21;3526100
Juquitiba;2019;123;4.07;22;1.46;60;1.99;4;0.13;11;0.36;;;86;2.85;2;0.13;3526209
Lagoinha;2019;37;7.68;1;0.42;11;2.28;;;3;0.62;;;9;1.87;;;3526308
Laranjal Paulista;2019;51;1.85;38;2.76;30;1.09;6;0.22;38;1.38;;;40;1.45;2;0.15;3526407
Lavínia;2019;34;3.99;3;0.7;9;1.06;;;;;;;19;2.23;;;3526506
