;nome_munic;codigo_ibge;dia;mes;datahora;casos;casos_novos;casos_pc;casos_mm7d;obitos;obitos_novos;obitos_pc;obitos_mm7d;letalidade;nome_ra;cod_ra;nome_drs;cod_drs;pop;pop_60;area;map_leg;map_leg_s;latitude;longitude;semana_epidem
275449;Arandu;3503109;27;4;2021-04-27;253;3;4,103812e+03;   1,1428571;7;0;1,135442e+02;  0,0000000;0,0276679842;RA de Itapeva;7;Bauru;12;6165;1030;28591;<300;5.0;-23,1386;-49,0487;17
275450;Arapeí;3503158;27;4;2021-04-27;177;0;7,163092e+03;   0,0000000;2;0;8,093889e+01;  0,0000000;0,0112994350;RA de São José dos Campos;15;Taubaté;17;2471;433;1569;<300;5.0;-22,6717;-44,4441;17
275451;Araraquara;3503208;27;4;2021-04-27;15839;145;6,958589e+03;  73,2857143;351;10;1,542057e+02;  2,7142857;0,0221604899;RA Central;5;Araraquara;8;227618;40188;100363;>5000;1.0;-21,7845;-48,1780;17
275452;Araras;3503307;27;4;2021-04-27;13006;140;9,923926e+03;  78,7142857;288;7;2,197517e+02;  2,1428571;0,0221436260;RA de Campinas;4;Piracicaba;11;131057;21594;64483;>5000;1.0;-22,3572;-47,3842;17
275453;Arco-Íris;3503356;27;4;2021-04-27;87;2;4,790749e+03;   0,5714286;5;0;2,753304e+02;  0,0000000;0,0574712644;RA de Marília;8;Marília;5;1816;414;2649;<150;6.0;-21,7728;-50,4660;17
275454;Arealva;3503406;27;4;2021-04-27;571;0;6,966813e+03;   2,5714286;8;0;9,760859e+01;  0,0000000;0,0140105079;RA de Bauru;3;Bauru;12;8196;1774;50497;<600;4.0;-22,0310;-48,9135;17
275455;Areias;3503505;27;4;2021-04-27;230;2;5,984908e+03;   0,4285714;1;0;2,602134e+01;  0,0000000;0,0043478261;RA de São José dos Campos;15;Taubaté;17;3843;562;30523;<300;5.0;-22,5786;-44,6992;17
275456;Areiópolis;3503604;27;4;2021-04-27;822;37;7,571152e+03;   7,4285714;12;0;1,105278e+02;  0,1428571;0,0145985401;RA de Sorocaba;13;Bauru;12;10857;1303;8591;<1200;3.0;-22,6672;-48,6681;17
275457;Ariranha;3503703;27;4;2021-04-27;381;2;4,087983e+03;   1,1428571;13;0;1,394850e+02;  0,0000000;0,0341207349;RA de São José do Rio Preto;14;São José do Rio Preto;15;9320;1475;13262;<600;4.0;-21,1872;-48,7904;17
275458;Artur Nogueira;3503802;27;4;2021-04-27;3134;30;5,957156e+03;  16,0000000;89;3;1,691726e+02;  0,8571429;0,0283982131;RA de Campinas;4;Campinas;3;52609;6762;17803;<5000;2.0;-22,5727;-47,1727;17
275459;Arujá;3503901;27;4;2021-04-27;5801;35;6,463942e+03;  23,5714286;214;0;2,384561e+02;  1,0000000;0,0368901913;RM de São Paulo;10;Grande São Paulo;10;89744;10776;9617;>5000;1.0;-23,3965;-46,3200;17
275460;Aspásia;3503950;27;4;2021-04-27;90;1;5,099150e+03;   0,4285714;4;0;2,266289e+02;  0,1428571;0,0444444444;RA de São José do Rio Preto;14;São José do Rio Preto;15;1765;402;6937;<150;6.0;-20,1600;-50,7280;17
275461;Assis;3504008;27;4;2021-04-27;6878;43;6,784309e+03;  40,7142857;223;5;2,199623e+02;  1,2857143;0,0324222158;RA de Marília;8;Marília;5;101381;18181;46061;>5000;1.0;-22,6600;-50,4183;17
275462;Atibaia;3504107;27;4;2021-04-27;8409;19;6,023380e+03;  25,2857143;204;1;1,461255e+02;  0,2857143;0,0242597217;RA de Campinas;4;Campinas;3;139606;21916;47852;>5000;1.0;-23,1171;-46,5563;17
