Localidades;Períodos;Frota de Veículos  Total ;Número de Habitantes por Total de Veículos ;Frota de Automóveis ;Número de Habitantes por Automóvel ;Frota de Ônibus ;Frota de Caminhões ;Frota de Reboques ;Frota de Motocicletas e Assemelhados ;Frota de Microônibus e Camionetas ;Frota de Veículos de Outro Tipo ;Cód. IBGE
Caraguatatuba;2020;73194;1.59;40062;2.9;145;1873;1595;20338;9088;93;3510500
Carapicuíba;2020;206001;1.92;133642;2.95;998;4593;1229;43178;22305;56;3510609
Cardoso;2020;7788;1.51;4570;2.56;64;259;485;1374;1033;3;3510708
Casa Branca;2020;20077;1.47;10984;2.68;124;718;346;5212;2675;18;3510807
Cássia dos Coqueiros;2020;1592;1.57;1031;2.42;17;34;33;203;274;;3510906
Castilho;2020;10311;2.01;5670;3.66;121;310;547;2559;1098;6;3511003
Catanduva;2020;111414;1.05;57350;2.04;544;3868;4473;32739;12371;69;3511102
Catiguá;2020;4139;1.82;2628;2.86;34;158;268;643;407;1;3511201
Caçapava;2020;59740;1.53;37974;2.4;165;1933;1123;12064;6434;47;3508504
Cedral;2020;6639;1.33;3855;2.29;26;300;325;1163;967;3;3511300
Cerqueira César;2020;12940;1.48;7771;2.47;172;554;617;2176;1647;3;3511409
Cerquilho;2020;32161;1.44;19020;2.44;126;1262;1088;6650;4008;7;3511508
Cesário Lange;2020;12881;1.34;7908;2.18;69;428;249;2836;1386;5;3511607
Charqueada;2020;9997;1.69;5928;2.86;102;554;517;1538;1355;3;3511706
Chavantes;2020;6142;1.99;4046;3.02;69;169;233;903;720;2;3557204
Clementina;2020;5469;1.52;2716;3.06;67;449;654;1063;519;1;3511904
Colina;2020;12781;1.38;6608;2.66;99;513;707;3351;1501;2;3512001
Colômbia;2020;3545;1.71;2066;2.93;72;176;176;575;480;;3512100
Conchal;2020;19429;1.4;10418;2.62;306;1073;565;4393;2667;7;3512209
Conchas;2020;11133;1.54;6769;2.53;50;463;252;1969;1611;19;3512308
Cordeirópolis;2020;18237;1.34;10531;2.31;63;1149;843;3404;2239;8;3512407
Coroados;2020;3288;1.8;1832;3.23;26;144;147;772;367;;3512506
Coronel Macedo;2020;1954;2.48;1159;4.18;26;119;55;339;255;1;3512605
Corumbataí;2020;2939;1.35;1544;2.57;12;315;203;441;424;;3512704
Cosmópolis;2020;41444;1.72;24823;2.87;230;1187;1021;9573;4598;12;3512803
Cosmorama;2020;5759;1.21;3178;2.2;50;286;248;1218;778;1;3512902
Cotia;2020;152558;1.62;99793;2.48;831;3563;1504;24872;21886;109;3513009
Cravinhos;2020;24291;1.42;13778;2.5;191;1414;1122;4436;3343;7;3513108
Cristais Paulista;2020;4484;1.88;2622;3.21;33;200;163;720;746;;3513207
Cruzália;2020;1457;1.45;835;2.54;6;101;60;236;218;1;3513306
Cruzeiro;2020;44426;1.8;26375;3.03;54;934;732;11257;5061;13;3513405
Cubatão;2020;60060;2.15;30407;4.25;401;5031;4604;13685;5674;258;3513504
Cunha;2020;13718;1.58;6954;3.12;49;417;95;4427;1772;4;3513603
Descalvado;2020;25932;1.25;14346;2.26;199;1478;928;5584;3366;31;3513702
Diadema;2020;221565;1.83;136251;2.97;643;5850;3109;53722;21918;72;3513801
Dirce Reis;2020;1004;1.71;507;3.39;8;74;40;260;115;;3513850
Divinolândia;2020;8889;1.22;5123;2.12;68;531;137;1342;1683;5;3513900
Dobrada;2020;4130;2.16;2497;3.57;88;111;117;924;391;2;3514007
Dois Córregos;2020;18055;1.49;10100;2.67;184;931;652;3667;2511;10;3514106
Dolcinópolis;2020;1697;1.2;1053;1.94;12;47;113;283;188;1;3514205
Dourado;2020;6063;1.4;3659;2.32;69;281;272;878;904;;3514304
Dracena;2020;37745;1.19;19867;2.26;162;1473;1800;9800;4633;10;3514403
Duartina;2020;8147;1.47;4949;2.42;86;334;261;1425;1088;4;3514502
Dumont;2020;5463;1.75;3134;3.05;58;472;274;627;896;2;3514601
Echaporã;2020;3447;1.8;2167;2.87;34;215;70;424;536;1;3514700
Eldorado;2020;5437;2.8;2645;5.76;66;312;138;1553;711;12;3514809
Elias Fausto;2020;9136;1.9;5069;3.42;97;462;272;2096;1133;7;3514908
Elisiário;2020;1752;2;1086;3.22;9;73;84;299;201;;3514924
Embaúba;2020;1364;1.77;850;2.83;30;84;73;135;192;;3514957
Embu das Artes;2020;122346;2.21;73213;3.7;873;3733;2849;27684;13927;67;3515004
EmbuGuaçu;2020;41456;1.64;25364;2.68;373;2563;540;6690;5888;38;3515103
Emilianópolis;2020;1823;1.68;1053;2.91;16;56;46;415;236;1;3515129
Engenheiro Coelho;2020;11172;1.84;5834;3.52;205;570;292;2744;1524;3;3515152
Espírito Santo do Pinhal;2020;31109;1.37;18230;2.34;97;822;418;7243;4295;4;3515186
Espírito Santo do Turvo;2020;2489;1.93;1421;3.38;37;208;127;309;387;;3515194
Estiva Gerbi;2020;7595;1.46;4215;2.63;33;440;305;1772;829;1;3557303
Estrela d'Oeste;2020;6890;1.17;3611;2.24;36;372;460;1527;884;;3515202
Estrela do Norte;2020;1286;2.07;906;2.94;9;34;40;126;171;;3515301
Euclides da Cunha Paulista;2020;4673;2.04;2553;3.74;60;132;147;1310;471;;3515350
Fartura;2020;9984;1.57;6048;2.59;46;448;346;1711;1378;7;3515400
Fernando Prestes;2020;4229;1.32;2396;2.33;22;317;169;581;742;2;3515608
Fernandópolis;2020;62586;1.06;31356;2.11;250;2088;3131;18674;7075;12;3515509
Fernão;2020;899;1.83;505;3.27;13;43;34;165;139;;3515657
Ferraz de Vasconcelos;2020;75021;2.57;52143;3.7;532;2224;460;10789;8810;63;3515707
Flora Rica;2020;875;1.82;548;2.9;13;34;45;117;117;1;3515806
Floreal;2020;2030;1.41;1218;2.34;8;82;105;329;287;1;3515905
Flórida Paulista;2020;6914;1.75;4336;2.8;131;436;379;874;757;1;3516002
Florínea;2020;1543;1.75;924;2.93;10;72;57;286;193;1;3516101
Franca;2020;275260;1.24;161397;2.12;697;4796;5307;70020;32978;65;3516200
Francisco Morato;2020;53531;3.26;36874;4.73;246;632;207;10683;4882;7;3516309
Franco da Rocha;2020;63141;2.41;42795;3.56;232;1284;429;11242;7131;28;3516408
Gabriel Monteiro;2020;1872;1.43;1001;2.68;15;83;89;364;320;;3516507
Gália;2020;3869;1.7;2294;2.86;49;206;123;660;536;1;3516606
Garça;2020;30503;1.39;17420;2.44;120;932;715;7986;3323;7;3516705
Gastão Vidigal;2020;2384;2;1403;3.4;66;84;84;491;256;;3516804
Gavião Peixoto;2020;2169;2.13;1442;3.2;31;82;87;192;335;;3516853
General Salgado;2020;7760;1.37;4498;2.37;112;404;536;1280;928;2;3516903
Getulina;2020;5111;2.12;3204;3.39;79;156;158;889;621;4;3517000
Glicério;2020;2421;1.96;1313;3.62;38;183;101;502;284;;3517109
Guaimbê;2020;2620;2.11;1713;3.23;40;155;58;347;307;;3517307
Guaíra;2020;30966;1.26;14975;2.61;237;2028;2252;7438;4033;3;3517406
Guaiçara;2020;6199;1.93;3356;3.56;41;156;573;1541;531;1;3517208
Guapiara;2020;7477;2.38;3856;4.61;66;444;94;2033;982;2;3517604
Guapiaçu;2020;13221;1.58;7177;2.9;82;551;503;3197;1708;3;3517505
Guará;2020;10473;1.99;6393;3.26;200;331;299;1970;1279;1;3517703
Guaraci;2020;5962;1.84;3382;3.25;120;263;410;1085;701;1;3517901
Guarani d'Oeste;2020;1205;1.6;705;2.73;8;52;53;240;147;;3518008
Guarantã;2020;3461;1.87;2061;3.14;49;130;177;640;404;;3518107
Guararapes;2020;23656;1.36;12041;2.66;164;997;1224;6733;2492;5;3518206
Guararema;2020;19467;1.51;11471;2.57;107;785;946;3522;2597;39;3518305
Guaratinguetá;2020;77733;1.52;46709;2.53;249;1674;918;17803;10310;70;3518404
Guaraçaí;2020;5914;1.42;3157;2.66;34;318;211;1304;888;2;3517802
Guareí;2020;6810;2.31;3631;4.34;105;345;114;1777;835;3;3518503
Guariba;2020;22739;1.72;13493;2.89;346;1004;854;4538;2491;13;3518602
Guarujá;2020;148825;2.13;66307;4.77;518;3730;2969;61109;14108;84;3518701
Guarulhos;2020;723860;1.87;477968;2.83;4058;27887;16860;107396;89135;556;3518800
Guatapará;2020;3726;2;2293;3.24;66;255;162;496;454;;3518859
Guzolândia;2020;2610;1.96;1671;3.06;43;101;99;368;327;1;3518909
Herculândia;2020;5570;1.66;2863;3.23;35;616;160;978;918;;3519006
Holambra;2020;10702;1.35;5561;2.61;176;508;345;2113;1995;4;3519055
Hortolândia;2020;127260;1.81;85316;2.7;791;3432;1864;22010;13823;24;3519071
Iacanga;2020;7305;1.55;4083;2.77;52;375;578;1243;972;2;3519105
Iacri;2020;3592;1.75;2202;2.85;22;202;109;605;451;1;3519204
Iaras;2020;2368;2.91;1411;4.89;34;78;70;465;308;2;3519253
Ibaté;2020;19748;1.76;11962;2.9;293;859;624;3575;2432;3;3519303
Ibirá;2020;7225;1.67;4358;2.77;56;219;276;1369;942;5;3519402
