Localidades;Períodos;Óbitos Gerais (por local de residência) ;Taxa de Mortalidade Geral (por local de residência) (Por mil habitantes);Óbitos da População de 15 a 34 Anos ;Taxa de Mortalidade da População de 15 a 34 Anos (Por cem mil habitantes nessa faixa etária);Óbitos da População de 60 Anos e Mais ;Taxa de Mortalidade da População de 60 Anos e Mais (Por cem mil habitantes nessa faixa etária);Cód. IBGE
Cajamar;2019;382;5.01;39;147.92;228;3139.2;3509205
Cajati;2019;192;6.64;12;126.88;130;3434.61;3509254
Cajobi;2019;79;7.84;5;158.38;53;2979.2;3509304
Cajuru;2019;177;6.96;12;144.88;132;3491.14;3509403
Campina do Monte Alegre;2019;44;7.6;2;107.53;35;3910.61;3509452
Campinas;2019;7472;6.4;323;90.63;5598;3011.41;3509502
Campo Limpo Paulista;2019;491;5.99;26;97.74;329;3045.45;3509601
Campos do Jordão;2019;384;7.7;22;138.67;255;4141.63;3509700
Campos Novos Paulista;2019;39;8.14;;;28;3461.06;3509809
Cananéia;2019;104;8.44;2;51.67;78;3927.49;3509908
Canas;2019;28;5.6;4;235.16;21;3559.32;3509957
Cândido Mota;2019;246;8.2;7;77.75;188;3501.58;3510005
Cândido Rodrigues;2019;29;10.85;1;133.33;22;3678.93;3510104
Canitar;2019;29;5.89;2;114.16;17;3148.15;3510153
Capão Bonito;2019;346;7.46;15;100.89;237;3523.12;3510203
Capela do Alto;2019;129;6.38;7;98.41;95;3746.06;3510302
Capivari;2019;325;6.06;15;85.78;240;3367.48;3510401
Caraguatatuba;2019;929;8.1;52;138.9;663;4126.73;3510500
Carapicuíba;2019;1966;5.01;117;96.64;1244;2560.62;3510609
Cardoso;2019;136;11.59;3;89.18;112;4562.12;3510708
Casa Branca;2019;272;9.27;12;126.8;205;4159.9;3510807
Cássia dos Coqueiros;2019;23;9.18;1;131.75;20;4089.98;3510906
Castilho;2019;104;5.08;3;45.31;72;2277.76;3511003
Catanduva;2019;1041;8.91;26;77;827;3865.39;3511102
Catiguá;2019;52;6.94;1;44.54;35;2961.08;3511201
Caçapava;2019;641;7.07;30;109.04;474;3449.78;3508504
Cedral;2019;82;9.37;5;191.06;56;3329.37;3511300
Cerqueira César;2019;179;9.4;15;239.77;119;4017.56;3511409
Cerquilho;2019;283;6.18;14;94.83;214;3163.81;3511508
Cesário Lange;2019;140;8.19;5;90.33;106;4416.67;3511607
Charqueada;2019;126;7.52;9;160.2;89;3839.52;3511706
Chavantes;2019;112;9.17;2;55.4;80;3910.07;3557204
Clementina;2019;60;7.31;2;71.53;46;4479.07;3511904
Colina;2019;160;9.1;4;73.48;124;4229.2;3512001
Colômbia;2019;55;9.1;1;52.71;42;4756.51;3512100
Conchal;2019;208;7.68;17;187.14;142;4020.39;3512209
Conchas;2019;126;7.39;4;78.45;91;3070.18;3512308
Cordeirópolis;2019;132;5.49;3;38.41;97;2863.05;3512407
Coroados;2019;54;9.21;2;107.24;42;4416.4;3512506
Coronel Macedo;2019;29;5.97;2;133.33;21;2419.35;3512605
Corumbataí;2019;40;10.12;5;394.32;24;3680.98;3512704
Cosmópolis;2019;345;4.93;15;63.79;233;2776.78;3512803
Cosmorama;2019;66;9.41;5;264.69;53;3231.71;3512902
Cotia;2019;1469;6.05;91;113.41;987;3675.02;3513009
Cravinhos;2019;217;6.35;7;63.22;161;3207.81;3513108
Cristais Paulista;2019;47;5.63;;;32;2507.84;3513207
Cruzália;2019;16;7.51;;;13;3140.1;3513306
Cruzeiro;2019;693;8.7;45;189.35;479;3670.78;3513405
Cubatão;2019;778;6.07;53;128.63;496;3321.73;3513504
Cunha;2019;183;8.44;2;29.65;140;3703.7;3513603
Descalvado;2019;261;8.08;5;51.07;204;3597.88;3513702
Diadema;2019;2203;5.47;119;90.9;1398;3062.03;3513801
Dirce Reis;2019;15;8.75;;;12;3208.56;3513850
Divinolândia;2019;101;9.26;5;161.92;78;3540.63;3513900
Dobrada;2019;46;5.22;;;38;3792.42;3514007
Dois Córregos;2019;222;8.3;11;134.72;162;3995.07;3514106
Dolcinópolis;2019;22;10.75;;;20;4366.81;3514205
Dourado;2019;82;9.65;2;81.27;68;4038;3514304
Dracena;2019;418;9.32;11;83.98;333;3734.44;3514403
Duartina;2019;135;11.25;2;58.34;111;4558.52;3514502
Dumont;2019;53;5.61;3;90.53;33;2600.47;3514601
Echaporã;2019;66;10.6;;;52;4463.52;3514700
Eldorado;2019;107;7.06;7;136.37;74;3433.87;3514809
Elias Fausto;2019;97;5.64;3;51.87;64;2824.36;3514908
Elisiário;2019;29;8.37;1;91.24;22;3826.09;3514924
Embaúba;2019;27;11.21;;;20;4454.34;3514957
Embu das Artes;2019;1419;5.3;113;129.85;856;3050.06;3515004
EmbuGuaçu;2019;514;7.61;24;107.24;345;3963.24;3515103
Emilianópolis;2019;25;8.16;;;23;3764.32;3515129
Engenheiro Coelho;2019;80;3.98;8;107.63;49;2732.85;3515152
Espírito Santo do Pinhal;2019;349;8.21;8;63.29;270;3552.16;3515186
Espírito Santo do Turvo;2019;35;7.38;2;123;20;3322.26;3515194
Estiva Gerbi;2019;85;7.74;1;27.82;58;3778.5;3557303
Estrela d'Oeste;2019;76;9.37;1;44.9;60;3669.72;3515202
Estrela do Norte;2019;14;5.26;;;9;2250;3515301
Euclides da Cunha Paulista;2019;58;6.09;1;32.37;43;3086.86;3515350
Fartura;2019;133;8.52;7;149;97;3415.49;3515400
Fernando Prestes;2019;65;11.67;2;129.12;55;4579.52;3515608
Fernandópolis;2019;603;9.14;14;74.95;492;3692.31;3515509
Fernão;2019;11;6.71;1;198.02;9;2912.62;3515657
Ferraz de Vasconcelos;2019;998;5.24;79;119.43;619;3110.24;3515707
