"Localidades";"Períodos";"Empregos Formais ";"Empregos Formais de Homens ";"Empregos Formais de Mulheres ";"Cód. IBGE"
"Patrocínio Paulista";"2018";"4250";"3104";"1146";3536307
"Paulicéia";"2018";"1939";"1353";"586";3536406
"Paulínia";"2018";"41600";"27415";"14185";3536505
"Paulistânia";"2018";"303";"175";"128";3536570
"Paulo de Faria";"2018";"1074";"612";"462";3536604
"Pederneiras";"2018";"12445";"8077";"4368";3536703
"Pedra Bela";"2018";"824";"439";"385";3536802
"Pedranópolis";"2018";"383";"239";"144";3536901
"Pedregulho";"2018";"3373";"2066";"1307";3537008
"Pedreira";"2018";"13286";"7072";"6214";3537107
"Pedrinhas Paulista";"2018";"628";"376";"252";3537156
"Pedro de Toledo";"2018";"912";"473";"439";3537206
"Penápolis";"2018";"15021";"7771";"7250";3537305
"Pereira Barreto";"2018";"5379";"3433";"1946";3537404
"Pereiras";"2018";"2285";"1421";"864";3537503
"Peruíbe";"2018";"9153";"4680";"4473";3537602
"Piacatu";"2018";"941";"403";"538";3537701
"Piedade";"2018";"7940";"4555";"3385";3537800
"Pilar do Sul";"2018";"6737";"4552";"2185";3537909
"Pindamonhangaba";"2018";"31326";"18840";"12486";3538006
"Pindorama";"2018";"2582";"1590";"992";3538105
"Pinhalzinho";"2018";"2071";"1023";"1048";3538204
"Piquerobi";"2018";"557";"329";"228";3538303
"Piquete";"2018";"1321";"860";"461";3538501
"Piracaia";"2018";"4372";"2223";"2149";3538600
"Piracicaba";"2018";"123089";"73027";"50062";3538709
"Piraju";"2018";"5971";"3369";"2602";3538808
"Pirajuí";"2018";"3445";"1983";"1462";3538907
"Pirangi";"2018";"2651";"1371";"1280";3539004
"Pirapora do Bom Jesus";"2018";"2015";"1121";"894";3539103
"Pirapozinho";"2018";"5450";"2961";"2489";3539202
"Pirassununga";"2018";"22786";"14162";"8624";3539301
"Piratininga";"2018";"2112";"1162";"950";3539400
"Pitangueiras";"2018";"7728";"5304";"2424";3539509
"Planalto";"2018";"2628";"2285";"343";3539608
"Platina";"2018";"503";"333";"170";3539707
"Poá";"2018";"26203";"12820";"13383";3539806
"Poloni";"2018";"961";"565";"396";3539905
"Pompéia";"2018";"7553";"4895";"2658";3540002
"Pongaí";"2018";"462";"242";"220";3540101
"Pontal";"2018";"9134";"6438";"2696";3540200
"Pontalinda";"2018";"386";"154";"232";3540259
"Pontes Gestal";"2018";"1131";"826";"305";3540309
"Populina";"2018";"514";"274";"240";3540408
"Porangaba";"2018";"1445";"860";"585";3540507
"Porto Feliz";"2018";"15233";"8919";"6314";3540606
"Porto Ferreira";"2018";"15435";"8666";"6769";3540705
"Potim";"2018";"1308";"732";"576";3540754
"Potirendaba";"2018";"4501";"3330";"1171";3540804
"Pracinha";"2018";"268";"125";"143";3540853
"Pradópolis";"2018";"7201";"5736";"1465";3540903
"Praia Grande";"2018";"49723";"25501";"24222";3541000
"Pratânia";"2018";"1270";"900";"370";3541059
"Presidente Alves";"2018";"584";"322";"262";3541109
"Presidente Bernardes";"2018";"2214";"1321";"893";3541208
"Presidente Epitácio";"2018";"5552";"2982";"2570";3541307
"Presidente Prudente";"2018";"65042";"35478";"29564";3541406
"Presidente Venceslau";"2018";"6014";"2952";"3062";3541505
"Promissão";"2018";"8803";"5332";"3471";3541604
"Quadra";"2018";"566";"320";"246";3541653
"Quatá";"2018";"2343";"1368";"975";3541703
"Queiroz";"2018";"971";"595";"376";3541802
"Queluz";"2018";"1630";"950";"680";3541901
"Quintana";"2018";"1194";"713";"481";3542008
"Rafard";"2018";"2549";"1792";"757";3542107
"Rancharia";"2018";"6942";"4242";"2700";3542206
"Redenção da Serra";"2018";"3591";"2769";"822";3542305
"Regente Feijó";"2018";"4661";"2885";"1776";3542404
"Reginópolis";"2018";"800";"456";"344";3542503
"Registro";"2018";"13613";"7652";"5961";3542602
"Restinga";"2018";"1660";"1222";"438";3542701
"Ribeira";"2018";"508";"367";"141";3542800
"Ribeirão Bonito";"2018";"1898";"1127";"771";3542909
"Ribeirão Branco";"2018";"3337";"2290";"1047";3543006
"Ribeirão Corrente";"2018";"715";"450";"265";3543105
"Ribeirão do Sul";"2018";"609";"350";"259";3543204
"Ribeirão dos Índios";"2018";"323";"151";"172";3543238
"Ribeirão Grande";"2018";"633";"366";"267";3543253
"Ribeirão Pires";"2018";"21377";"12304";"9073";3543303
"Ribeirão Preto";"2018";"230076";"122244";"107832";3543402
"Rifaina";"2018";"854";"496";"358";3543600
"Rincão";"2018";"1435";"888";"547";3543709
