CodIBGE;Localidade;Populacao;Pop60mais%;DensDem;RazaoSexos;GrauUrb;TxMortalidade;PIBPerCapita;VlAdTPop;VlAdAPPop;VlAdIndPop;VlAdSrvPop;VlAdAgrPop;ImpostosPop;ConsEElTPop;ConsEEIndPop;ConsEECSPop;ConsEERurPop;ConsEEResPop;ConsEEIlPubPop;FrotaVeículosPop;AutomóveisPop;LeitosMilHab;LeitosSUSMilHab;AuxEnfMilHab;EnfMilHab;MedMilHab;TecEnfMilHab;EmpFormPop;RazaoEmpSexo;RendMedEmpregos;IDH-M;IDH-Long;IDH-Educ;IDH-Renda;RendaPCapita;DomMeioSMPC%;DomQuarSMPC%;Agua%;Lixo%;Esgoto%;CasosCovid;ObitosCovid;IncidCovid%;LetalidCovid%;MortalidCovid%
3503356;ArcoÍris;1806;22,92358804;0,685541714;99,34;64,84;8,22;28938,39;28,56883721;7,17003876;3,24217608;13,20927464;12,11739203;0,786157254;1,977297896;0,303986711;0,092469546;0,772425249;0,519933555;0,288482835;0,557585825;0,285160576;0;0;8,77;1,1;0;0,55;0,187153931;1,503703704;1985,78;0,722;0,809;0,694;0,671;468,04;27,42;8,87;100;99,73;98,14;116;6;6,387665198;5,172413793;0,330396476
3503406;Arealva;8223;21,57363493;0,162306672;100,9;84,32;10,54;28397,67;26,38855406;4,214121367;1,765366655;16,35030767;8,272879728;1,677586039;2,747537395;0,437309984;0,221208805;0,829624225;0,988325429;0,271068953;0,578256111;0,310470631;3,55;2,21;2,21;2,33;0,12;3,31;0,183388058;1,393650794;1796,96;0,744;0,84;0,683;0,718;616,98;21,22;7,1;96,44;99,67;90,71;764;11;9,321620303;1,439790576;0,134211811
3503505;Areias;3860;14,55958549;0,125905055;97,85;67,05;9,41;11328,5;10,75889896;5,223572539;0,330256477;9,169818653;1,258826425;0,414056995;1,230310881;0,000518135;0,127202073;0,393264249;0,540673575;0,16865285;0,44015544;0,274352332;0;0;1,83;2,09;0,52;3,4;0,140414508;2,132947977;1511,79;0,697;0,803;0,672;0,627;356,22;45,98;18,74;99,31;99,59;86,91;258;1;6,713505074;0,387596899;0,026021337
3503604;Areiópolis;10900;11,95412844;1,263764405;104,77;92,97;7,85;13255,66;12,61415229;3,889576147;1,045611009;9,206452294;2,362088991;0,505307339;1,02853211;0,042752294;0,14559633;0,030091743;0,62440367;0,185688073;0,51146789;0,326422018;0;0;1,2;1,29;0;7,12;0,110917431;1,21023766;2175,51;0,695;0,823;0,594;0,686;502,08;20,6;5,18;98,86;99,89;98,97;1095;14;10,08565902;1,278538813;0,128949065
3503703;Ariranha;9378;15,72830028;0,702759765;102,2;94,7;8,11;79444,23;60,82158669;4,428856899;20,58972169;37,96641288;2,265451056;16,86907869;2,172851354;0,803689486;0,164107486;0,131264662;0,825975688;0,2477074;0,643527405;0,356579228;0;0;5,41;1,19;0,43;3,14;0,401044999;3,955204216;3257,08;0,733;0,813;0,663;0,73;669,28;11,62;3,08;95,85;100;99,26;488;16;5,236051502;3,278688525;0,17167382
3503802;Artur Nogueira;53224;12,70479483;2,955063753;98,51;90,54;6,11;23179,16;19,84143732;3,658836991;3,713227116;13,9877279;2,140482301;2,409229295;1,842552232;0,474353675;0,320889073;0,118104614;0,689688862;0,239534796;0,751427927;0,427551481;0,69;0;1,33;2,37;1,1;4,32;0,178133925;0,981400209;2438,87;0,749;0,827;0,681;0,745;661,52;16,02;4,45;97,82;99,89;96,26;3928;110;7,466403087;2,800407332;0,209089699
3503901;Arujá;90958;11,84722619;9,331808256;97,22;96,33;5,76;70959,06;56,53489424;4,024324963;10,37201906;45,89548341;0,267391763;11,13825535;2,901086216;1,376943205;0,530178764;0,02481365;0,839244486;0,129906111;0,642109545;0,39983289;1,04;0,27;6,04;2,73;2,35;3,74;0,253017876;1,638312507;2895,72;0,784;0,866;0,73;0,761;745,4;25,75;10,72;95,99;99,65;58,3;6788;262;7,563736851;3,859752504;0,291941523
3503950;Aspásia;1760;22,84090909;0,254432752;99,77;75,4;6,78;19845,15;19,45203409;6,658517045;1,018960227;12,2655625;6,167517045;0,550977273;2,369886364;0,006818182;0,163636364;1,223863636;0,700568182;0,275568182;0,666477273;0,378409091;0;0;0;3,39;0,57;5,65;0,127272727;0,947826087;2106,3;0,735;0,864;0,657;0,699;422,34;25,53;7,54;99,06;100;99,06;113;4;6,402266289;3,539823009;0,226628895
3504008;Assis;101825;17,85514363;2,201016044;94,93;95,63;7,88;33571,58;29,76274815;3,888425829;5,350465603;23,95717407;0,45510847;3,267801031;1,898688927;0,106447336;0,543304689;0,052688436;0,892462558;0,303785907;0,813513381;0,417618463;2,83;1,59;5,87;3,5;2,91;3,56;0,211804567;1,191768293;2495,13;0,805;0,865;0,781;0,771;802,57;15,18;4,59;99,16;99,85;98,52;9507;318;9,37749677;3,344903755;0,313668242
3504107;Atibaia;140589;15,58870182;2,917453816;96,14;93,87;8,12;52079,06;42,62082666;4,211794877;12,99743415;28,46520382;1,158188692;8,168383515;3,625148482;1,38361465;0,756218481;0,184914894;1,07692636;0,223466985;0,856069821;0,502877181;1,39;0,4;3,71;2,54;2,63;4,46;0,279132791;1,141734432;2702,25;0,765;0,851;0,67;0,786;871,55;15,76;5,64;82,01;99,46;56,82;9796;227;7,016890392;2,317272356;0,162600461
