Localidades;Períodos;Índice de Desenvolvimento Humano Municipal  IDHM ;Índice de Desenvolvimento Humano Municipal  IDHM  Ranking dos Municípios ;Índice de Desenvolvimento Humano Municipal  IDHM Longevidade ;Índice de Desenvolvimento Humano Municipal  IDHM Educação ;Índice de Desenvolvimento Humano Municipal  IDHM Renda ;Cód. IBGE
Indiaporã;2010;0.751;219;0.835;0.71;0.714;3520707
Inúbia Paulista;2010;0.759;169;0.849;0.75;0.688;3520806
Ipaussu;2010;0.727;418;0.828;0.65;0.713;3520905
Iperó;2010;0.719;476;0.814;0.672;0.68;3521002
Ipeúna;2010;0.753;207;0.845;0.685;0.737;3521101
Ipiguá;2010;0.73;388;0.839;0.666;0.696;3521150
Iporanga;2010;0.703;565;0.816;0.668;0.637;3521200
Ipuã;2010;0.749;236;0.848;0.654;0.759;3521309
Iracemápolis;2010;0.776;83;0.863;0.729;0.742;3521408
Irapuã;2010;0.713;515;0.844;0.624;0.688;3521507
Irapuru;2010;0.712;522;0.839;0.622;0.691;3521606
Itaberá;2010;0.693;603;0.803;0.636;0.652;3521705
Itaí;2010;0.713;515;0.83;0.63;0.692;3521804
Itajobi;2010;0.73;388;0.832;0.644;0.727;3521903
Itaju;2010;0.705;554;0.823;0.613;0.696;3522000
Itanhaém;2010;0.745;265;0.823;0.701;0.716;3522109
Itaoca;2010;0.68;621;0.787;0.637;0.627;3522158
Itapecerica da Serra;2010;0.742;290;0.852;0.687;0.699;3522208
Itapetininga;2010;0.763;145;0.864;0.705;0.728;3522307
Itapeva;2010;0.732;370;0.803;0.697;0.702;3522406
Itapevi;2010;0.735;345;0.855;0.677;0.687;3522505
Itapira;2010;0.762;151;0.852;0.692;0.75;3522604
Itapirapuã Paulista;2010;0.661;638;0.816;0.594;0.595;3522653
Itápolis;2010;0.744;274;0.836;0.667;0.738;3522703
Itaporanga;2010;0.719;476;0.835;0.653;0.681;3522802
Itapuí;2010;0.725;430;0.841;0.633;0.716;3522901
Itapura;2010;0.72;469;0.813;0.673;0.682;3523008
Itaquaquecetuba;2010;0.714;509;0.844;0.648;0.665;3523107
Itararé;2010;0.703;565;0.803;0.649;0.668;3523206
Itariri;2010;0.677;628;0.837;0.577;0.642;3523305
Itatiba;2010;0.778;75;0.844;0.708;0.788;3523404
Itatinga;2010;0.706;550;0.841;0.61;0.685;3523503
Itirapina;2010;0.724;442;0.813;0.636;0.734;3523602
Itirapuã;2010;0.707;548;0.826;0.636;0.673;3523701
Itobi;2010;0.717;494;0.82;0.646;0.697;3523800
Itu;2010;0.773;96;0.854;0.692;0.782;3523909
Itupeva;2010;0.762;151;0.844;0.699;0.75;3524006
Ituverava;2010;0.765;138;0.841;0.694;0.768;3524105
Jaborandi;2010;0.711;528;0.845;0.627;0.679;3524204
Jaboticabal;2010;0.778;75;0.851;0.71;0.778;3524303
Jacareí;2010;0.777;80;0.837;0.749;0.749;3524402
Jaci;2010;0.723;446;0.818;0.659;0.7;3524501
Jacupiranga;2010;0.717;494;0.832;0.644;0.687;3524600
Jaguariúna;2010;0.784;55;0.862;0.715;0.782;3524709
Jales;2010;0.776;83;0.855;0.73;0.75;3524808
Jambeiro;2010;0.756;188;0.86;0.69;0.727;3524907
Jandira;2010;0.76;164;0.841;0.706;0.738;3525003
Jardinópolis;2010;0.735;345;0.853;0.64;0.728;3525102
Jarinu;2010;0.733;362;0.826;0.659;0.723;3525201
Jaú;2010;0.778;75;0.886;0.693;0.768;3525300
Jeriquara;2010;0.703;565;0.814;0.628;0.68;3525409
Joanópolis;2010;0.699;584;0.824;0.585;0.707;3525508
João Ramalho;2010;0.741;297;0.818;0.71;0.701;3525607
José Bonifácio;2010;0.777;80;0.869;0.717;0.752;3525706
