"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Iacri";"2018";"191441,42";"30363,43";"0,00866";3519204
"Iaras";"2018";"152535,58";"22481,29";"0,0069";3519253
"Ibaté";"2018";"849194,41";"25008,67";"0,038415";3519303
"Ibirá";"2018";"251106,34";"21206,51";"0,011359";3519402
"Ibirarema";"2018";"183537,3";"24967,66";"0,008303";3519501
"Ibitinga";"2018";"1523757,35";"26495,06";"0,068931";3519600
"Ibiúna";"2018";"1701924,43";"22574,94";"0,076991";3519709
"Icém";"2018";"173790,66";"21937,73";"0,007862";3519808
"Iepê";"2018";"247259,17";"31461,91";"0,011185";3519907
"Igarapava";"2018";"1179673,38";"40433,01";"0,053365";3520103
"Igaratá";"2018";"180642,39";"19598,83";"0,008172";3520202
"Igaraçu do Tietê";"2018";"303425,16";"12655,37";"0,013726";3520004
"Iguape";"2018";"1169819,79";"39910,61";"0,05292";3520301
"Ilha Comprida";"2018";"1339968,2";"133582,71";"0,060617";3520426
"Ilha Solteira";"2018";"625342,87";"24386,49";"0,028289";3520442
"Ilhabela";"2018";"14401224,6";"443469,38";"0,651473";3520400
"Indaiatuba";"2018";"15596305,25";"66096,12";"0,705536";3520509
"Indiana";"2018";"64130,06";"13402,31";"0,002901";3520608
"Indiaporã";"2018";"95550";"24753,89";"0,004322";3520707
"Inúbia Paulista";"2018";"138261,53";"35986,86";"0,006255";3520806
"Ipaussu";"2018";"373010,79";"26024,61";"0,016874";3520905
"Iperó";"2018";"648432,51";"19534,04";"0,029333";3521002
"Ipeúna";"2018";"696293,27";"96120";"0,031498";3521101
"Ipiguá";"2018";"107465,85";"21142,21";"0,004861";3521150
"Iporanga";"2018";"51274,45";"11706,5";"0,00232";3521200
"Ipuã";"2018";"358852,96";"23113,03";"0,016234";3521309
"Iracemápolis";"2018";"1990597,16";"86615,49";"0,090049";3521408
"Irapuã";"2018";"156745,82";"20497,69";"0,007091";3521507
"Irapuru";"2018";"88061,03";"11869,66";"0,003984";3521606
"Itaberá";"2018";"521461,62";"29562,99";"0,02359";3521705
"Itaí";"2018";"601067,75";"23116,21";"0,027191";3521804
"Itajobi";"2018";"1599308,91";"109421,79";"0,072349";3521903
"Itaju";"2018";"87323,59";"24412,52";"0,00395";3522000
"Itanhaém";"2018";"1885630,93";"19561,7";"0,085301";3522109
"Itaoca";"2018";"41298,59";"12962,52";"0,001868";3522158
"Itapecerica da Serra";"2018";"3660938,18";"22023,46";"0,165611";3522208
"Itapetininga";"2018";"4754148,45";"30286,41";"0,215065";3522307
"Itapeva";"2018";"2521974,41";"27763,12";"0,114087";3522406
"Itapevi";"2018";"12172060,62";"52926,14";"0,550632";3522505
"Itapira";"2018";"3905552,19";"54981,45";"0,176677";3522604
"Itapirapuã Paulista";"2018";"42107,83";"10247,71";"0,001905";3522653
"Itápolis";"2018";"1308752,49";"31718,11";"0,059205";3522703
"Itaporanga";"2018";"321102,42";"21913,77";"0,014526";3522802
"Itapuí";"2018";"665412,03";"49410,56";"0,030101";3522901
"Itapura";"2018";"91507,93";"19048,28";"0,00414";3523008
"Itaquaquecetuba";"2018";"7212559,67";"20009,21";"0,326277";3523107
"Itararé";"2018";"878884,05";"18024,69";"0,039758";3523206
"Itariri";"2018";"276174,16";"16339,73";"0,012493";3523305
"Itatiba";"2018";"6051183,94";"52694,6";"0,27374";3523404
"Itatinga";"2018";"410393,01";"20485,85";"0,018565";3523503
"Itirapina";"2018";"411186,77";"24417,27";"0,018601";3523602
"Itirapuã";"2018";"98573,83";"15888,75";"0,004459";3523701
"Itobi";"2018";"124806,67";"16430,58";"0,005646";3523800
"Itu";"2018";"7831498,16";"46966,35";"0,354276";3523909
"Itupeva";"2018";"6690186,47";"118862,69";"0,302646";3524006
"Ituverava";"2018";"1524621,96";"38147,97";"0,06897";3524105
"Jaborandi";"2018";"137848,78";"20685,59";"0,006236";3524204
"Jaboticabal";"2018";"2906847,19";"39406,33";"0,131498";3524303
"Jacareí";"2018";"12705392,68";"56524,94";"0,574758";3524402
"Jaci";"2018";"393180,49";"58578,74";"0,017786";3524501
"Jacupiranga";"2018";"530424,35";"30847,59";"0,023995";3524600
"Jaguariúna";"2018";"11529843,92";"217470,37";"0,52158";3524709
"Jales";"2018";"1546576,08";"32752,56";"0,069963";3524808
"Jambeiro";"2018";"238349,68";"39305,69";"0,010782";3524907
"Jandira";"2018";"4014711,34";"33310,75";"0,181615";3525003
"Jardinópolis";"2018";"1096985,44";"26171,04";"0,049625";3525102
"Jarinu";"2018";"2510282,58";"87643,41";"0,113559";3525201
"Jaú";"2018";"4733100,12";"32779,52";"0,214113";3525300
"Jeriquara";"2018";"82385,84";"26204,15";"0,003727";3525409
"Joanópolis";"2018";"213005,22";"17040,42";"0,009636";3525508
"João Ramalho";"2018";"120874,49";"27876,96";"0,005468";3525607
"José Bonifácio";"2018";"1320742,12";"37363,98";"0,059747";3525706
"Júlio Mesquita";"2018";"51126,86";"11131,47";"0,002313";3525805
"Jumirim";"2018";"131511,33";"40956,5";"0,005949";3525854
"Jundiaí";"2018";"43632890,54";"108932,72";"1,973837";3525904
"Junqueirópolis";"2018";"576140,9";"29100,96";"0,026063";3526001
"Juquiá";"2018";"328898,9";"17437,12";"0,014879";3526100
"Juquitiba";"2018";"513903,68";"17107,31";"0,023248";3526209
"Lagoinha";"2018";"56590,74";"11745,69";"0,00256";3526308
"Laranjal Paulista";"2018";"1112580,07";"40713,58";"0,05033";3526407
"Lavínia";"2018";"157514,93";"18429,27";"0,007126";3526506
"Lavrinhas";"2018";"109956,53";"15594,46";"0,004974";3526605
"Leme";"2018";"3207602,09";"32343,83";"0,145103";3526704
"Lençóis Paulista";"2018";"2639062,01";"40353,25";"0,119384";3526803
"Limeira";"2018";"13192024,8";"45101,4";"0,596772";3526902
"Lindóia";"2018";"182324,63";"24168,16";"0,008248";3527009
"Lins";"2018";"3785365,53";"50850,55";"0,17124";3527108
"Lorena";"2018";"2826717,96";"32930,46";"0,127873";3527207
"Lourdes";"2018";"40048,02";"18421,35";"0,001812";3527256
"Louveira";"2018";"10963451,72";"237175,81";"0,495958";3527306
"Lucélia";"2018";"441170,22";"21203,99";"0,019957";3527405
"Lucianópolis";"2018";"57005,51";"25268,4";"0,002579";3527504
"Luís Antônio";"2018";"1509302,47";"110539,22";"0,068277";3527603
"Luiziânia";"2018";"71746,75";"12795,92";"0,003246";3527702
"Lupércio";"2018";"77357,9";"17553,41";"0,003499";3527801
"Lutécia";"2018";"85264,83";"32334,03";"0,003857";3527900
"Macatuba";"2018";"628367,72";"37400,61";"0,028426";3528007
"Macaubal";"2018";"154750,16";"19988,4";"0,007";3528106
"Macedônia";"2018";"78572,32";"21880,35";"0,003554";3528205
"Magda";"2018";"93560,32";"30083,7";"0,004232";3528304
"Mairinque";"2018";"1896800,51";"41476,44";"0,085806";3528403
"Mairiporã";"2018";"1748553,22";"18382,22";"0,0791";3528502
"Manduri";"2018";"228638,57";"24256,16";"0,010343";3528601
"Marabá Paulista";"2018";"101579,47";"20709,37";"0,004595";3528700
"Maracaí";"2018";"412434,25";"30575,6";"0,018657";3528809
"Marapoama";"2018";"179408,97";"62818,27";"0,008116";3528858
"Mariápolis";"2018";"56776,41";"14323,01";"0,002568";3528908
"Marília";"2018";"8082305,73";"35330,48";"0,365622";3529005
"Marinópolis";"2018";"34731,11";"16554,39";"0,001571";3529104
"Martinópolis";"2018";"496100,11";"19543,81";"0,022442";3529203
"Matão";"2018";"4153988,56";"52282,34";"0,187916";3529302
"Mauá";"2018";"15287482,92";"33825,83";"0,691565";3529401
"Mendonça";"2018";"233512,55";"46974,96";"0,010563";3529500
"Meridiano";"2018";"241156,63";"64103,3";"0,010909";3529609
"Mesópolis";"2018";"58798,32";"31110,22";"0,00266";3529658
"Miguelópolis";"2018";"1015273,3";"47795,56";"0,045928";3529708
"Mineiros do Tietê";"2018";"172288,03";"13797,39";"0,007794";3529807
