"Localidades";"Períodos";"Rendimento Médio do Total de Empregos Formais (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Indústria (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Construção (Em reais correntes)";"Rendimento Médio dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas (Em reais correntes)";"Rendimento Médio dos Empregos Formais dos Serviços (Em reais correntes)";"Cód. IBGE"
"Cajuru";"2018";"2233,85";"1633,11";"3352,19";"2128,36";"1594,36";"1969,04";3509403
"Campina do Monte Alegre";"2018";"2538,5";"2452,92";"2255,79";"-";"1528,03";"2906,49";3509452
"Campinas";"2018";"3804,53";"2892,53";"5225,58";"2833,64";"2710,05";"4001,04";3509502
"Campo Limpo Paulista";"2018";"3412,59";"1630,24";"4729,76";"2427,57";"2095,16";"2774,15";3509601
"Campos do Jordão";"2018";"2076,14";"1468,28";"3034,89";"1763,35";"1804,67";"2079,58";3509700
"Campos Novos Paulista";"2018";"2030,08";"1724,8";"2218,69";"1814,16";"1863,99";"2245,59";3509809
"Cananéia";"2018";"2143,26";"1626,48";"2347,04";"1551,95";"1780,41";"2344,1";3509908
"Canas";"2018";"2017,7";"1237,55";"1728,15";"2051,31";"2371,67";"2083,97";3509957
"Cândido Mota";"2018";"2651,87";"2493,89";"3392,27";"2195,06";"2294,32";"2451,66";3510005
"Cândido Rodrigues";"2018";"1977,47";"1443,72";"2264,18";"1657,53";"1625,13";"2128,66";3510104
"Canitar";"2018";"2214,09";"1934,08";"2721,62";"1727,5";"1556,61";"1975,99";3510153
"Capão Bonito";"2018";"1958,28";"1666,77";"1954,65";"2034,41";"1755,45";"2222,98";3510203
"Capela do Alto";"2018";"1753,03";"1467,38";"2130,89";"2364,68";"1718,95";"2236,92";3510302
"Capivari";"2018";"2502,61";"2053,46";"2778,15";"1916,64";"2077,12";"2461,07";3510401
"Caraguatatuba";"2018";"2621,66";"2231,66";"7790,34";"1906,33";"1954,89";"2707,58";3510500
"Carapicuíba";"2018";"2319,78";"-";"2856,66";"2123,58";"1938,67";"2437,58";3510609
"Cardoso";"2018";"2283,8";"1849,32";"2443,18";"1912,27";"1671,66";"2703,91";3510708
"Casa Branca";"2018";"2456,81";"2084,7";"2134,96";"6328,96";"2284,31";"2999,35";3510807
"Cássia dos Coqueiros";"2018";"1694,11";"1562,21";"2575";"1600,62";"1485,4";"1807,28";3510906
"Castilho";"2018";"2583,6";"2059,85";"2901,15";"1576,2";"1717,46";"2887,1";3511003
"Catanduva";"2018";"2531,7";"2475,94";"2864,21";"2239,11";"2239,08";"2525,28";3511102
"Catiguá";"2018";"2311,09";"2552,49";"2355,78";"1237,5";"2024,16";"2342,75";3511201
"Caçapava";"2018";"3110,42";"1379,19";"4488,48";"3281,52";"2068,12";"2338,54";3508504
"Cedral";"2018";"2336,51";"1697,49";"2875,82";"2482,87";"1894,84";"2287,91";3511300
"Cerqueira César";"2018";"2408,25";"1856,25";"2549,56";"2027,78";"1791,47";"2836,91";3511409
"Cerquilho";"2018";"2491,83";"2537,03";"2657,24";"2167,18";"1998,82";"2549,27";3511508
"Cesário Lange";"2018";"2304,97";"1913,37";"2471,81";"2262,58";"1691,72";"2558,32";3511607
"Charqueada";"2018";"2439,82";"2438,88";"2874,8";"2978,8";"1747";"2369,07";3511706
"Chavantes";"2018";"2836,5";"1607,18";"4557,85";"1750,93";"1727,27";"2458,37";3557204
"Clementina";"2018";"3175,28";"1772,12";"3471,88";"1000";"1688,42";"2385,18";3511904
"Colina";"2018";"2375,86";"2241,19";"2708,06";"2355,36";"1750,1";"2172,32";3512001
"Colômbia";"2018";"1939,15";"1639,49";"2935,08";"1533,9";"1480,26";"2378,12";3512100
"Conchal";"2018";"2180,27";"1668,51";"2203,03";"2600,17";"1812,78";"2690,57";3512209
"Conchas";"2018";"2055,83";"1460,98";"1937,04";"2292,04";"1587,04";"2406,59";3512308
"Cordeirópolis";"2018";"3189,19";"1821,76";"3606,77";"2154,92";"2667,56";"2960,39";3512407
"Coroados";"2018";"2209,11";"1827,1";"2351,3";"1819,05";"1935,94";"2426,66";3512506
"Coronel Macedo";"2018";"1619,31";"1603,67";"1522,34";"1605,63";"1434,89";"1716,82";3512605
"Corumbataí";"2018";"2655,96";"1633,68";"1892,56";"-";"3640,37";"2838,58";3512704
"Cosmópolis";"2018";"2731,72";"2445,21";"3849,72";"2450,05";"1928,31";"2431,58";3512803
"Cosmorama";"2018";"2318,31";"1732,35";"2393,5";"1901,11";"1561,64";"2611,43";3512902
"Cotia";"2018";"3270,97";"1692,06";"3943,48";"2339,82";"3461,32";"2884,66";3513009
"Cravinhos";"2018";"3097,76";"2796,83";"3574,86";"2174,87";"1808,23";"3400,93";3513108
"Cristais Paulista";"2018";"1893,87";"1654,58";"1970,02";"-";"1616,76";"2427";3513207
"Cruzália";"2018";"2266,33";"1837,5";"1754,86";"-";"2213,77";"2465,94";3513306
"Cruzeiro";"2018";"3160,89";"1296,86";"4648,9";"2505,54";"1848,58";"2232,14";3513405
"Cubatão";"2018";"4399,63";"1160";"7758,67";"2552,13";"2509,5";"3596,38";3513504
"Cunha";"2018";"1926,58";"1337,02";"1746,89";"1852,33";"1606,6";"2378,21";3513603
"Descalvado";"2018";"2536,94";"2062,88";"3353,35";"1947,3";"1832,76";"2478,95";3513702
"Diadema";"2018";"3299,06";"-";"3732,7";"2705,49";"2411,02";"3342,72";3513801
"Dirce Reis";"2018";"2701,62";"1437,87";"2856,89";"2824,03";"1563,55";"2734,84";3513850
"Divinolândia";"2018";"2231,32";"1417,73";"2099,62";"1693,83";"1636,89";"2675,38";3513900
"Dobrada";"2018";"2539,73";"2288,07";"2317,47";"1789,46";"1791,91";"2991,98";3514007
"Dois Córregos";"2018";"1985,87";"1559,78";"2102,71";"1853,46";"1862,18";"2086,79";3514106
"Dolcinópolis";"2018";"2323,28";"1641,52";"1802,44";"1346,7";"1380,75";"2643,24";3514205
"Dourado";"2018";"2411,07";"2138,95";"2344,06";"1756,11";"2664,34";"2106,38";3514304
"Dracena";"2018";"2105,1";"1912,92";"2260,42";"3329,49";"1899,16";"2124,87";3514403
"Duartina";"2018";"1987,2";"1544,87";"1929,7";"2426,09";"1639,5";"2218,18";3514502
"Dumont";"2018";"2398,37";"2603,43";"2466,14";"1645,75";"2123,43";"2466,56";3514601
"Echaporã";"2018";"1958,41";"1707,34";"2027,36";"1484,2";"1594,26";"2351,88";3514700
"Eldorado";"2018";"1644,22";"1246,63";"1766,43";"1942,49";"1683,66";"2043,59";3514809
"Elias Fausto";"2018";"2638,69";"1949,45";"2964,3";"2034,74";"1970,05";"2577,52";3514908
"Elisiário";"2018";"2433,74";"2361,47";"1724,57";"2063,25";"2170,7";"2711,94";3514924
"Embaúba";"2018";"2241,23";"1767,99";"2804,43";"-";"1554,16";"2336,88";3514957
"Embu das Artes";"2018";"2687,21";"1599,24";"3416,17";"2619,37";"2131,89";"2704,31";3515004
"Embu-Guaçu";"2018";"2339,47";"1756,84";"2626,22";"2156,98";"1787,67";"2489,97";3515103
"Emilianópolis";"2018";"2064,04";"1343,35";"1679,68";"1640,32";"1674,55";"2289,56";3515129
"Engenheiro Coelho";"2018";"2666,31";"1831,86";"3436,19";"1657,25";"1866,1";"2678,21";3515152
"Espírito Santo do Pinhal";"2018";"2393,71";"1923,13";"2581,88";"1791,23";"2094,52";"2509,96";3515186
"Espírito Santo do Turvo";"2018";"2176,91";"1654,89";"2652,22";"1435,11";"2103,28";"2366,42";3515194
"Estiva Gerbi";"2018";"2805,23";"1918,92";"3485";"3973,82";"1838,22";"2188,67";3557303
"Estrela d'Oeste";"2018";"2292,56";"2146,58";"2280";"1630,45";"1551,31";"2638,37";3515202
"Estrela do Norte";"2018";"1916,51";"1700,16";"5023,79";"-";"1419,21";"1996,28";3515301
"Euclides da Cunha Paulista";"2018";"1873,75";"2221,14";"2097,96";"1355,97";"1552,57";"1856,54";3515350
"Fartura";"2018";"1730,5";"1582,52";"1383,49";"1505,63";"1607,01";"2230,03";3515400
"Fernando Prestes";"2018";"2115,62";"1940,28";"2203,62";"4082,9";"1583,81";"2402,94";3515608
"Fernandópolis";"2018";"2259,25";"1729,87";"2257,63";"1873,54";"1973,8";"2537,79";3515509
"Fernão";"2018";"2011,84";"1400,94";"1642,92";"-";"1599,13";"2607,19";3515657
"Ferraz de Vasconcelos";"2018";"2702,33";"-";"2604,7";"1728,75";"1866,7";"3562,1";3515707
"Flora Rica";"2018";"1951,93";"1508,91";"3271,54";"-";"1345,03";"2082,12";3515806
"Floreal";"2018";"2087,42";"1469,11";"1613,76";"1433,28";"1481,49";"2661,67";3515905
"Flórida Paulista";"2018";"2056,94";"1504,61";"1801,37";"2211,14";"2006,45";"2418,18";3516002
"Florínea";"2018";"2157,08";"2500,6";"3651,02";"-";"2013,26";"1992,4";3516101
