"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"São Caetano do Sul";"2018";"11175952,73";"1253494,56";"3133205,92";"8042728,05";"18,76";"2264775,68";"11,22";"28,04";"71,96";"0";3548807
"São Carlos";"2018";"9693130,34";"1032366,37";"3047561,48";"6525507,37";"120061,49";"1479870";"10,65";"31,44";"67,32";"1,24";3548906
"São Francisco";"2018";"46937,47";"14893,92";"2600,98";"27358,89";"16977,6";"892,7";"31,73";"5,54";"58,29";"36,17";3549003
"São João da Boa Vista";"2018";"2822511,87";"362482,72";"671081,51";"2085537,93";"65892,44";"306507,49";"12,84";"23,78";"73,89";"2,33";3549102
"São João das Duas Pontes";"2018";"43474,54";"14267,87";"3181,02";"26166,72";"14126,8";"905,26";"32,82";"7,32";"60,19";"32,49";3549201
"São João de Iracema";"2018";"32863,91";"13915,91";"1103,89";"24392,92";"7367,1";"973,96";"42,34";"3,36";"74,22";"22,42";3549250
"São João do Pau d'Alho";"2018";"44861,77";"13204,94";"2196,57";"26543,38";"16121,82";"1361,59";"29,43";"4,9";"59,17";"35,94";3549300
"São Joaquim da Barra";"2018";"1533505,53";"191489,3";"503661,72";"975708,82";"54134,99";"164817,75";"12,49";"32,84";"63,63";"3,53";3549409
"São José da Bela Vista";"2018";"154246,32";"36587,42";"5221,7";"89540,29";"59484,32";"7813,91";"23,72";"3,39";"58,05";"38,56";3549508
"São José do Barreiro";"2018";"50899,39";"21540,38";"1788,81";"42619,38";"6491,19";"2074,13";"42,32";"3,51";"83,73";"12,75";3549607
"São José do Rio Pardo";"2018";"1607147,68";"210003,28";"400082,75";"1114188,07";"92876,87";"212475,04";"13,07";"24,89";"69,33";"5,78";3549706
"São José do Rio Preto";"2018";"15830305,12";"1636208,39";"1884631,83";"13900591,43";"45081,86";"1712179,97";"10,34";"11,91";"87,81";"0,28";3549805
"São José dos Campos";"2018";"34392038,93";"2663903,72";"14234345,45";"20142430,59";"15262,89";"5305461,57";"7,75";"41,39";"58,57";"0,04";3549904
"São Lourenço da Serra";"2018";"189891,03";"59491,54";"20183,21";"168430,24";"1277,57";"18791,8";"31,33";"10,63";"88,7";"0,67";3549953
"São Luiz do Paraitinga";"2018";"156253,69";"46530,35";"8658,43";"132123,08";"15472,18";"8226,16";"29,78";"5,54";"84,56";"9,9";3550001
"São Manuel";"2018";"1110187,22";"149057,93";"170731,12";"755294,89";"184161,22";"95158,97";"13,43";"15,38";"68,03";"16,59";3550100
"São Miguel Arcanjo";"2018";"653492,38";"114272,64";"41286,12";"374149,24";"238057,02";"27579,79";"17,49";"6,32";"57,25";"36,43";3550209
"São Paulo";"2018";"587529064,25";"44009142,36";"58054689,16";"529437955,32";"36419,78";"127154298,21";"7,49";"9,88";"90,11";"0,01";3550308
"São Pedro";"2018";"695956,54";"137440,74";"57867,22";"575839,84";"62249,48";"56909,18";"19,75";"8,31";"82,74";"8,94";3550407
"São Pedro do Turvo";"2018";"173302,32";"32593,07";"14602,7";"84703,61";"73996";"8700";"18,81";"8,43";"48,88";"42,7";3550506
"São Roque";"2018";"2587448,48";"347381,09";"498903,37";"2060064,66";"28480,44";"384201,35";"13,43";"19,28";"79,62";"1,1";3550605
"São Sebastião";"2018";"3151049,85";"608517,03";"405717,72";"2733403,57";"11928,56";"630789,05";"19,31";"12,88";"86,75";"0,38";3550704
"São Sebastião da Grama";"2018";"267369,04";"46034,08";"32632,17";"188198,72";"46538,16";"18061,88";"17,22";"12,2";"70,39";"17,41";3550803
"São Simão";"2018";"401874,61";"71813,89";"63555,44";"285324,66";"52994,5";"41328,04";"17,87";"15,81";"71";"13,19";3550902
"São Vicente";"2018";"5107761,66";"1347707,21";"439261,82";"4665491,61";"3008,23";"342287,64";"26,39";"8,6";"91,34";"0,06";3551009
"Sarapuí";"2018";"136579,71";"39808,86";"25286,49";"89836,03";"21457,19";"8841,27";"29,15";"18,51";"65,78";"15,71";3551108
"Sarutaiá";"2018";"61463,3";"18636,76";"3238,9";"38005,28";"20219,12";"64,48";"30,32";"5,27";"61,83";"32,9";3551207
"Sebastianópolis do Sul";"2018";"226644,33";"22042,15";"98633,22";"91022,01";"36989,1";"20505,91";"9,73";"43,52";"40,16";"16,32";3551306
"Serra Azul";"2018";"149685,75";"53531,55";"11632,79";"104864,6";"33188,35";"4533,4";"35,76";"7,77";"70,06";"22,17";3551405
"Serra Negra";"2018";"671139,87";"113196,24";"71535,06";"559746,55";"39858,27";"51301,63";"16,87";"10,66";"83,4";"5,94";3551603
"Serrana";"2018";"830406,72";"185632,99";"108167,93";"705722,25";"16516,54";"90274,54";"22,35";"13,03";"84,99";"1,99";3551504
"Sertãozinho";"2018";"4829396,59";"542143,43";"1605099,12";"3156593,64";"67703,83";"666924,22";"11,23";"33,24";"65,36";"1,4";3551702
"Sete Barras";"2018";"359694,91";"53965,59";"23602,08";"143704,95";"192387,88";"10858,71";"15";"6,56";"39,95";"53,49";3551801
"Severínia";"2018";"218603,21";"72617,89";"8239,55";"194901,56";"15462,1";"13121,19";"33,22";"3,77";"89,16";"7,07";3551900
"Silveiras";"2018";"69340,02";"30282,41";"3490,72";"59669,6";"6179,71";"3859,33";"43,67";"5,03";"86,05";"8,91";3552007
"Socorro";"2018";"783485,76";"146861,3";"109083,93";"618897,73";"55504,11";"77444,52";"18,74";"13,92";"78,99";"7,08";3552106
"Sorocaba";"2018";"28099232,72";"2659736,21";"8896518,74";"19170058";"32655,98";"6915955,67";"9,47";"31,66";"68,22";"0,12";3552205
"Sud Mennucci";"2018";"157292,68";"39016,75";"11495,5";"100521,37";"45275,81";"9925,76";"24,81";"7,31";"63,91";"28,78";3552304
"Sumaré";"2018";"11040682,16";"974087,02";"4210221,1";"6707759,96";"122701,1";"3398215,86";"8,82";"38,13";"60,75";"1,11";3552403
"Suzanápolis";"2018";"214673,75";"24306,7";"103432,58";"84984,61";"26256,56";"36299,54";"11,32";"48,18";"39,59";"12,23";3552551
"Suzano";"2018";"9364334,71";"1046371,52";"3820406,88";"5325289,82";"218638,02";"1783531,29";"11,17";"40,8";"56,87";"2,33";3552502
"Tabapuã";"2018";"224612,06";"51130,92";"17248,52";"154843,9";"52519,64";"10520,86";"22,76";"7,68";"68,94";"23,38";3552601
"Tabatinga";"2018";"240545,88";"63104,57";"23593,21";"171453,12";"45499,55";"12606,37";"26,23";"9,81";"71,28";"18,92";3552700
"Taboão da Serra";"2018";"7156324,2";"1002493,55";"1611679,45";"5544462,44";"182,32";"1222557,22";"14,01";"22,52";"77,48";"0";3552809
"Taciba";"2018";"149995,84";"35102,74";"9483,91";"82305,81";"58206,12";"6078";"23,4";"6,32";"54,87";"38,81";3552908
"Taguaí";"2018";"245976,22";"50497,95";"18166,43";"201187,32";"26622,48";"25377,4";"20,53";"7,39";"81,79";"10,82";3553005
"Taiaçu";"2018";"92313,11";"25062,6";"2747,48";"67593,83";"21971,79";"4674,88";"27,15";"2,98";"73,22";"23,8";3553104
"Taiúva";"2018";"106428,47";"25546,81";"9051,41";"76793,97";"20583,09";"7642,17";"24";"8,5";"72,16";"19,34";3553203
"Tambaú";"2018";"518822,4";"84346,94";"108646,36";"338315,12";"71860,92";"42411,09";"16,26";"20,94";"65,21";"13,85";3553302
"Tanabi";"2018";"860505,33";"107089,83";"281334,17";"481531,12";"97640,05";"66769,43";"12,44";"32,69";"55,96";"11,35";3553401
"Tapiraí";"2018";"136074,3";"33720,9";"15548,69";"79060,98";"41464,62";"5449,92";"24,78";"11,43";"58,1";"30,47";3553500
"Tapiratiba";"2018";"303710,29";"50692,51";"70951,35";"176775,57";"55983,37";"21756,78";"16,69";"23,36";"58,21";"18,43";3553609
"Taquaral";"2018";"36817,16";"15019,27";"1551,43";"26695,49";"8570,25";"1710,2";"40,79";"4,21";"72,51";"23,28";3553658
"Taquaritinga";"2018";"1453741,1";"228683,69";"273115,71";"1053305,67";"127319,72";"116835,49";"15,73";"18,79";"72,45";"8,76";3553708
"Taquarituba";"2018";"620290,22";"89374,34";"72648,33";"492752,1";"54889,78";"68552,74";"14,41";"11,71";"79,44";"8,85";3553807
"Taquarivaí";"2018";"202220,33";"28407,57";"13122,58";"118272,44";"70825,31";"16433,18";"14,05";"6,49";"58,49";"35,02";3553856
"Tarabai";"2018";"107560,72";"31174,69";"12315,74";"80741,49";"14503,49";"7133,13";"28,98";"11,45";"75,07";"13,48";3553906
"Tarumã";"2018";"688665,12";"65056,69";"271439,37";"363933,71";"53292,04";"85876,34";"9,45";"39,42";"52,85";"7,74";3553955
"Tatuí";"2018";"3529915,31";"456841,51";"1061317,81";"2368443,68";"100153,83";"472111,15";"12,94";"30,07";"67,1";"2,84";3554003
"Taubaté";"2018";"13985384,75";"1254514,39";"5918186,16";"8047489,47";"19709,12";"3281841,35";"8,97";"42,32";"57,54";"0,14";3554102
"Tejupá";"2018";"79662,61";"22440,62";"5024,94";"42593,14";"32044,52";"421,77";"28,17";"6,31";"53,47";"40,23";3554201
"Teodoro Sampaio";"2018";"411556,17";"87808,05";"62582,89";"304576,55";"44396,74";"25915,98";"21,34";"15,21";"74,01";"10,79";3554300
"Terra Roxa";"2018";"136187,24";"36930,86";"14034,6";"90951,49";"31201,15";"4607,96";"27,12";"10,31";"66,78";"22,91";3554409
"Tietê";"2018";"1614616,83";"175662,63";"601185,24";"962366,39";"51065,2";"210893,14";"10,88";"37,23";"59,6";"3,16";3554508
"Timburi";"2018";"43294,15";"14796,03";"2296,41";"28712,13";"12285,62";"679,93";"34,18";"5,3";"66,32";"28,38";3554607
"Torre de Pedra";"2018";"29090,61";"13636,76";"1818,91";"25502,02";"1769,68";"934,19";"46,88";"6,25";"87,66";"6,08";3554656
"Torrinha";"2018";"189584,1";"37681,25";"23011,52";"137607,66";"28964,92";"13736,9";"19,88";"12,14";"72,58";"15,28";3554706
"Trabiju";"2018";"38673,97";"12592,21";"6309,81";"24350,79";"8013,37";"1941,7";"32,56";"16,32";"62,96";"20,72";3554755
"Tremembé";"2018";"692370,29";"178642,48";"172355,31";"513303,23";"6711,75";"62989,63";"25,8";"24,89";"74,14";"0,97";3554805
"Três Fronteiras";"2018";"102264,13";"25314,09";"9527,73";"68419,04";"24317,36";"4644,29";"24,75";"9,32";"66,9";"23,78";3554904
"Tuiuti";"2018";"127518,85";"25868,1";"4628,97";"99595,58";"23294,3";"8661,73";"20,29";"3,63";"78,1";"18,27";3554953
"Tupã";"2018";"1651686,53";"234672,56";"233097,6";"1315987,24";"102601,69";"143230,23";"14,21";"14,11";"79,68";"6,21";3555000
"Tupi Paulista";"2018";"261942,35";"60309,48";"9353,22";"220185,66";"32403,48";"12033,42";"23,02";"3,57";"84,06";"12,37";3555109
"Turiúba";"2018";"40584,04";"13473,77";"2500,42";"25206,88";"12876,74";"1446,44";"33,2";"6,16";"62,11";"31,73";3555208
"Turmalina";"2018";"54689,51";"14592,52";"2677,63";"27975,15";"24036,72";"1334,29";"26,68";"4,9";"51,15";"43,95";3555307
"Ubarana";"2018";"301252,03";"31256,88";"172286,3";"95314,27";"33651,45";"15037,36";"10,38";"57,19";"31,64";"11,17";3555356
"Ubatuba";"2018";"2030012,42";"384987,17";"252333,42";"1752118,91";"25560,09";"108371,75";"18,96";"12,43";"86,31";"1,26";3555406
"Ubirajara";"2018";"89790,36";"23822,93";"5692,37";"56944,7";"27153,29";"3682,77";"26,53";"6,34";"63,42";"30,24";3555505
"Uchoa";"2018";"200982,2";"46108,31";"34759,96";"129152,39";"37069,85";"22402,03";"22,94";"17,3";"64,26";"18,44";3555604
"União Paulista";"2018";"44466,93";"12632,97";"2171,01";"25983,04";"16312,88";"1004,38";"28,41";"4,88";"58,43";"36,69";3555703
"Urânia";"2018";"203742,82";"32917,03";"22077,63";"118359,13";"63306,06";"11526,78";"16,16";"10,84";"58,09";"31,07";3555802
"Uru";"2018";"40343,36";"11617,5";"1905,75";"22356,66";"16080,96";"1021,04";"28,8";"4,72";"55,42";"39,86";3555901
"Urupês";"2018";"368041,89";"56556,24";"24013,35";"247497,94";"96530,6";"24437,14";"15,37";"6,52";"67,25";"26,23";3556008
"Valentim Gentil";"2018";"294973,76";"49217,8";"106617,46";"169009,61";"19346,69";"29887,92";"16,69";"36,14";"57,3";"6,56";3556107
"Valinhos";"2018";"5142978,02";"592668,06";"1515242,49";"3583212,55";"44522,98";"1056589,44";"11,52";"29,46";"69,67";"0,87";3556206
"Valparaíso";"2018";"796713,31";"106088,33";"288824,37";"404492,04";"103396,91";"76734,27";"13,32";"36,25";"50,77";"12,98";3556305
"Vargem";"2018";"121587,48";"36464,14";"10911,55";"102098,54";"8577,39";"10275,61";"29,99";"8,97";"83,97";"7,05";3556354
"Vargem Grande do Sul";"2018";"880990,67";"160570,93";"137662,18";"700229,66";"43098,83";"93167,71";"18,23";"15,63";"79,48";"4,89";3556404
"Vargem Grande Paulista";"2018";"1766082,39";"211336,8";"480296,71";"1260149,21";"25636,47";"316612,92";"11,97";"27,2";"71,35";"1,45";3556453
"Várzea Paulista";"2018";"2451350,15";"424100,59";"911610,71";"1538063,8";"1675,64";"392350,66";"17,3";"37,19";"62,74";"0,07";3556503
"Vera Cruz";"2018";"136531,95";"41076,34";"7766,59";"114647,02";"14118,34";"6314,97";"30,09";"5,69";"83,97";"10,34";3556602
"Vinhedo";"2018";"7127962,66";"439354,82";"2777411,86";"4339137,64";"11413,16";"2148721,38";"6,16";"38,97";"60,87";"0,16";3556701
"Viradouro";"2018";"321647,04";"73067,86";"35167,84";"253924,36";"32554,84";"24174,59";"22,72";"10,93";"78,95";"10,12";3556800
"Vista Alegre do Alto";"2018";"301562,52";"37241,27";"120459,33";"152139,03";"28964,17";"43954,97";"12,35";"39,95";"50,45";"9,6";3556909
"Vitória Brasil";"2018";"34341,81";"12187,5";"1730,87";"24846,15";"7764,79";"1587,43";"35,49";"5,04";"72,35";"22,61";3556958
"Votorantim";"2018";"2760056,94";"485021,01";"672300,57";"2086330,49";"1425,88";"333311,55";"17,57";"24,36";"75,59";"0,05";3557006
"Votuporanga";"2018";"2672532,39";"346713,76";"506073,77";"2121744,4";"44714,22";"256155,22";"12,97";"18,94";"79,39";"1,67";3557105
"Zacarias";"2018";"85907,7";"18951,53";"8090,36";"38731,91";"39085,43";"2609,51";"22,06";"9,42";"45,09";"45,5";3557154
