"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Castilho";"2018";"788996,56";"105135,33";"299976,68";"425181,63";"63838,25";"75947,12";"13,33";"38,02";"53,89";"8,09";3511003
"Catanduva";"2018";"3824921,59";"503664,78";"796144,54";"2983681,26";"45095,79";"370299,07";"13,17";"20,81";"78,01";"1,18";3511102
"Catiguá";"2018";"110169,9";"31893,04";"6534,03";"85036,27";"18599,6";"6723,33";"28,95";"5,93";"77,19";"16,88";3511201
"Caçapava";"2018";"3623755,24";"354904,51";"1614161,69";"1993483,7";"16109,85";"694689,27";"9,79";"44,54";"55,01";"0,44";3508504
"Cedral";"2018";"271214,06";"42947,59";"81152,2";"162532,7";"27529,16";"41211,09";"15,84";"29,92";"59,93";"10,15";3511300
"Cerqueira César";"2018";"561750,35";"88197,14";"168655,26";"326827,82";"66267,27";"43437";"15,7";"30,02";"58,18";"11,8";3511409
"Cerquilho";"2018";"1582260,95";"187770,09";"592815,58";"937435,8";"52009,57";"250964,55";"11,87";"37,47";"59,25";"3,29";3511508
"Cesário Lange";"2018";"393874,76";"73050,4";"74963,76";"286780,95";"32130,05";"38378,89";"18,55";"19,03";"72,81";"8,16";3511607
"Charqueada";"2018";"322041,78";"62526,76";"96992,04";"204563,08";"20486,66";"31863,58";"19,42";"30,12";"63,52";"6,36";3511706
"Chavantes";"2018";"191478,97";"51831,91";"13094,88";"156403,86";"21980,24";"15977,12";"27,07";"6,84";"81,68";"11,48";3557204
"Clementina";"2018";"201170,32";"33666,14";"63114,79";"121597,34";"16458,2";"18638,65";"16,74";"31,37";"60,44";"8,18";3511904
"Colina";"2018";"983922,4";"88473,93";"399239,89";"516641,34";"68041,17";"123971,04";"8,99";"40,58";"52,51";"6,92";3512001
"Colômbia";"2018";"309671,59";"39808,83";"68458,93";"116928,73";"124283,92";"20374,12";"12,86";"22,11";"37,76";"40,13";3512100
"Conchal";"2018";"629002,49";"117899,14";"177019,47";"406990,62";"44992,4";"63283,98";"18,74";"28,14";"64,7";"7,15";3512209
"Conchas";"2018";"331557,93";"73712,83";"29104,12";"241809,45";"60644,36";"20834,1";"22,23";"8,78";"72,93";"18,29";3512308
"Cordeirópolis";"2018";"2381034,36";"144638,79";"787162,25";"1545885,06";"47987,05";"441187,62";"6,07";"33,06";"64,92";"2,02";3512407
"Coroados";"2018";"153660,62";"24975,67";"29321,92";"83974,97";"40363,74";"11843,25";"16,25";"19,08";"54,65";"26,27";3512506
"Coronel Macedo";"2018";"74210,98";"22466,7";"7097,54";"43672,89";"23440,55";"2660,23";"30,27";"9,56";"58,85";"31,59";3512605
"Corumbataí";"2018";"207952,86";"23728,75";"11199,89";"170464,75";"26288,21";"40608,53";"11,41";"5,39";"81,97";"12,64";3512704
"Cosmópolis";"2018";"1423654,32";"263534,18";"479472,23";"921489,78";"22692,31";"167436,52";"18,51";"33,68";"64,73";"1,59";3512803
"Cosmorama";"2018";"297913";"34752,77";"96290,88";"129814,93";"71807,19";"37983,05";"11,67";"32,32";"43,57";"24,1";3512902
"Cotia";"2018";"9877577,78";"994032,56";"2763445,19";"7096237,27";"17895,32";"2656991,19";"10,06";"27,98";"71,84";"0,18";3513009
"Cravinhos";"2018";"1029813,07";"141503,35";"296183,61";"683688,76";"49940,7";"165915,47";"13,74";"28,76";"66,39";"4,85";3513108
"Cristais Paulista";"2018";"186441,41";"35487,4";"13579,51";"110660,43";"62201,47";"6731,21";"19,03";"7,28";"59,35";"33,36";3513207
"Cruzália";"2018";"93119,4";"13916,2";"3006,56";"71411,15";"18701,69";"11414,68";"14,94";"3,23";"76,69";"20,08";3513306
"Cruzeiro";"2018";"2126257,83";"304006,86";"740690,97";"1378680,87";"6886";"309560,64";"14,3";"34,84";"64,84";"0,32";3513405
"Cubatão";"2018";"11345291,58";"799377,3";"6294750,08";"5049629,91";"911,59";"1837946,97";"7,05";"55,48";"44,51";"0,01";3513504
"Cunha";"2018";"249212,63";"83737";"16685,07";"210601,57";"21926";"9837,23";"33,6";"6,7";"84,51";"8,8";3513603
